norm	adjusted r	adjusted r-squared	r-squared	r	source
valence	0.771755156655276	0.5956060218240097	0.6496436595612114	0.806004751574835	pl-imbir-2016.tsv
arousal	0.7270954885766846	0.5286678495085677	0.5766323775493718	0.759363139446057	pl-imbir-2016.tsv
dominance	0.7147130733455769	0.5108147772110799	0.5571595468579825	0.746431207049908	pl-imbir-2016.tsv
concreteness	0.8717073394684911	0.7598736856832351	0.8288148606351498	0.9103926958379828	pl-imbir-2016.tsv
imageability	0.794479994338755	0.6311984614045082	0.6884652997974456	0.8297380910850397	pl-imbir-2016.tsv
age of acquisition	0.7001469067439197	0.4902056910230789	0.5346806569864804	0.7312186109409965	pl-imbir-2016.tsv
