norm	adjusted r	adjusted r-squared	r-squared	r	source
sensory experience	0.7237670422109855	0.5238387313908385	0.5268080129181956	0.7258154124281156	es-diez-alamo-2019.tsv
valence	0.7660634964455255	0.5868532805863437	0.603366188899171	0.7767664957367633	es-stadthagen-gonzalez-2017.tsv
arousal	0.7050605071773968	0.49711031878124795	0.5110980349395244	0.7149112077310891	es-stadthagen-gonzalez-2017.tsv
motor content	0.6956462160576627	0.4839236579153444	0.5437143732177079	0.7373699025710961	es-san-miguel-abella-2019.tsv
age of acquisition	0.7190144211545917	0.5169817378282726	0.5808569119335625	0.7621396931885667	es-san-miguel-abella-2019.tsv
color vividness	0.6480234889246024	0.41993444219801424	0.4216209259016207	0.6493234370493804	es-diez-alamo-2018.tsv
visual motion	0.8628155313123033	0.7444506410737323	0.7474404026844701	0.8645463565850418	es-diez-alamo-2018.tsv
graspability	0.859160214300096	0.7381562738361869	0.7411207568636414	0.8608837069335448	es-diez-alamo-2018.tsv
risk of pain	0.7711677326611148	0.5946996718976847	0.5970880239936593	0.7727147106103645	es-diez-alamo-2018.tsv
sound intensity	0.8034056610763152	0.645460656249471	0.6480528677203524	0.8050173089569891	es-diez-alamo-2018.tsv
pleasant taste	0.8830923903712837	0.7798521699316677	0.7829841063570961	0.8848638914302561	es-diez-alamo-2018.tsv
smell intensity	0.7937050985156623	0.6299677834097572	0.6324977745077884	0.7952972868731468	es-diez-alamo-2018.tsv
valence	0.8114658032735641	0.6584767498824107	0.6589474266157076	0.8117557678364272	es-guasch-2016.tsv
arousal	0.7587070022424667	0.5756363152517503	0.5760477779502862	0.7589781142762195	es-guasch-2016.tsv
concreteness	0.8298384568389084	0.6886318644487809	0.6891240959458851	0.8301349865810289	es-guasch-2016.tsv
imageability	0.8300195921080942	0.688932523283287	0.6894249696902086	0.8303161865760589	es-guasch-2016.tsv
context availability	0.6256383077564526	0.3914232921323577	0.39170308004667675	0.6258618697817249	es-guasch-2016.tsv
familiarity	0.6034553776706232	0.3641583928395945	0.36441869190524107	0.6036710129741539	es-guasch-2016.tsv
happiness	0.6768455124065694	0.45811984766491154	0.4615071367248499	0.6793431656569822	es-stadthagen-gonzalez-2018.tsv
disgust	0.6741435943071927	0.45446958574542085	0.4578298851599011	0.6766312771073335	es-stadthagen-gonzalez-2018.tsv
anger	0.7459696516664519	0.5564707212073675	0.5605852060866614	0.7487223825201578	es-stadthagen-gonzalez-2018.tsv
fear	0.7366796656385264	0.542696929765291	0.5467095727067091	0.7393981151630757	es-stadthagen-gonzalez-2018.tsv
sadness	0.7446637862583795	0.5545241545646654	0.558624246738804	0.7474116982887035	es-stadthagen-gonzalez-2018.tsv
valence	0.7332999923418587	0.5377288787685701	0.5417047884733118	0.7360059704060231	es-stadthagen-gonzalez-2018.tsv
arousal	0.6744481182101164	0.4548802641571671	0.4582436000838141	0.6769369247454404	es-stadthagen-gonzalez-2018.tsv
