norm	adjusted r	adjusted r-squared	r-squared	r	source
valence	0.7843738164965525	0.6152422840053673	0.6203693030387454	0.7876352601545625	en-warriner-2013.tsv
arousal	0.6099636881202595	0.3720557008252691	0.375156164998813	0.612499930611272	en-warriner-2013.tsv
dominance	0.6907168445230991	0.4770897593079471	0.48106550730218	0.6935888604224985	en-warriner-2013.tsv
concreteness	0.7999338925622635	0.6398942324698149	0.7598436447983339	0.871690108237058	en-brysbaert-2014.tsv
lexical decision rt	0.5382304220934794	0.289691987266925	0.30475049866879533	0.5520421167526943	en-keuleers-2012.tsv
lexical decision accuracy	0.6245082608040723	0.39001056781252713	0.41028375050447174	0.6405339573390874	en-keuleers-2012.tsv
age of acquisition	0.7146535645804792	0.5107297173675852	0.5367715176385737	0.732646925632377	en-kuperman-2012.tsv
mean r	0.5048680733642117	0.25489177150249104	0.258271018473168	0.5082037174924717	en-binder-2016.tsv
vision	0.8541340491396063	0.7295449738996195	0.7392169716596524	0.8597772802648674	en-binder-2016.tsv
bright	0.6481814120242043	0.42013914289369125	0.42570916940932735	0.6524639219216088	en-binder-2016.tsv
dark	0.4630014931570096	0.21437038266562042	0.2172124142539904	0.46606052638470724	en-binder-2016.tsv
color	0.8205476514775212	0.6732984483452755	0.6822247535316712	0.8259689785528699	en-binder-2016.tsv
pattern	0.804897535646632	0.6478600428900213	0.6564490964889421	0.8102154630028621	en-binder-2016.tsv
large	0.8109827804200206	0.6576930701377873	0.6664124858403717	0.8163409127566569	en-binder-2016.tsv
small	0.7793141515588843	0.6073305468199437	0.6153822775542991	0.7844630504710206	en-binder-2016.tsv
motion	0.7904301804392024	0.62477987014915	0.6330629366094608	0.7956525225306966	en-binder-2016.tsv
biomotion	0.8298714719818826	0.6886866600093765	0.6978169755776826	0.8353544011841217	en-binder-2016.tsv
fast	0.7726679970177123	0.5970158336153635	0.6049308162579914	0.7777729850399738	en-binder-2016.tsv
slow	0.606970184527083	0.3684128049048411	0.373297065575928	0.6109804134143156	en-binder-2016.tsv
shape	0.8679046804302752	0.7532585343127782	0.7632449163964704	0.873638893591895	en-binder-2016.tsv
complexity	0.8025442991144134	0.644077352041045	0.652616256329468	0.8078466787265192	en-binder-2016.tsv
face	0.8267259281460076	0.6834757602688778	0.6925369919391091	0.8321880748599496	en-binder-2016.tsv
body	0.8200155842546978	0.6724255584205733	0.6813402912026643	0.8254333959821739	en-binder-2016.tsv
touch	0.7856122547574123	0.6171866148250252	0.6253690131276297	0.7908027649974612	en-binder-2016.tsv
temperature	0.7429435181611139	0.5519650711776134	0.5592827899242864	0.747852117683895	en-binder-2016.tsv
texture	0.8324209743793118	0.6929246785866029	0.7021111800072587	0.8379207480467701	en-binder-2016.tsv
weight	0.8101836893722719	0.656397610524866	0.6650998515734912	0.8155365421447963	en-binder-2016.tsv
pain	0.7461069547945908	0.5566755879928574	0.5640557567730659	0.7510364550227012	en-binder-2016.tsv
audition	0.8172059627379208	0.667825585534412	0.6766793338274818	0.8226052114030653	en-binder-2016.tsv
loud	0.8120523228187937	0.6594289749953983	0.6681714045881404	0.8174175215813155	en-binder-2016.tsv
low	0.7402720268392945	0.5480026737207572	0.5552678606829642	0.7451629759206801	en-binder-2016.tsv
high	0.7820691928743957	0.6116322224432087	0.6197409829680239	0.7872362942395529	en-binder-2016.tsv
sound	0.8239809307704578	0.67894457427335	0.687945733401974	0.8294249413913075	en-binder-2016.tsv
music	0.8348414409130983	0.6969602314658583	0.7062002345345345	0.84035720651074	en-binder-2016.tsv
speech	0.8130320394592502	0.6610210971872676	0.6697846344605838	0.818403711172294	en-binder-2016.tsv
taste	0.863078022813176	0.7449036734631013	0.7547792903461349	0.8687803464317865	en-binder-2016.tsv
smell	0.7983271855514766	0.6373262951905418	0.6457756968313256	0.803601702854919	en-binder-2016.tsv
head	0.7337469686598787	0.538384614017561	0.5455222888246121	0.7385948069304388	en-binder-2016.tsv
upperlimb	0.738675994551123	0.5456422249260906	0.5528761180595805	0.74355639870798	en-binder-2016.tsv
lowerlimb	0.6908281456680373	0.47724352684713894	0.48357061905912757	0.6953924209100409	en-binder-2016.tsv
practice	0.8440383380790765	0.7124007161472894	0.7218454226113633	0.8496148672259468	en-binder-2016.tsv
landmark	0.8168114939358126	0.6671810166256541	0.6760262194975851	0.8222081363606086	en-binder-2016.tsv
path	0.7711985577685659	0.5947472155043161	0.6026321217704718	0.7762938372616852	en-binder-2016.tsv
