norm	adjusted r	adjusted r-squared	r-squared	r	source
valence	0.6860310805063885	0.47063864342076284	0.5600394337648815	0.7483578246834074	pl-imbir-2016.tsv
arousal	0.6538492444452325	0.42751883446160144	0.5087287440645694	0.7132522303256887	pl-imbir-2016.tsv
dominance	0.6171159460270093	0.3808320908408106	0.45317355787825714	0.6731816678120827	pl-imbir-2016.tsv
concreteness	0.8168960920088008	0.6673192251392511	0.7940807373381917	0.8911120789991525	pl-imbir-2016.tsv
imageability	0.7306271218560634	0.5338159911916749	0.6352177187761197	0.7970054697278556	pl-imbir-2016.tsv
age of acquisition	0.6147687416372614	0.37794060569426174	0.44973281681959093	0.6706212170962017	pl-imbir-2016.tsv
