	adjusted r	adjusted r-squared	norm	r-squared	source
0	0.8111409761627911	0.6579496832103257	valence	0.732683388875641	de-kanske-2010.tsv
1	0.8193947687780124	0.6714077871007725	arousal	0.7476701415376086	de-kanske-2010.tsv
2	0.8565683201619896	0.7337092871051326	concreteness	0.8170482039032657	de-kanske-2010.tsv
0	0.6978672925070996	0.4870187579511897	potency	0.5071141921384961	de-schauenburg-2015.tsv
1	0.725846893404685	0.5268537126652322	authority	0.5485928221684092	de-schauenburg-2015.tsv
2	0.7289939457086673	0.5314321728798913	community	0.5533601994307606	de-schauenburg-2015.tsv
3	0.7900225428452012	0.6241356182035979	arousal	0.6498887869158823	de-schauenburg-2015.tsv
4	0.8296343012838989	0.6882930738668233	valence	0.7166935162351145	de-schauenburg-2015.tsv
