norm	adjusted r	adjusted r-squared	r-squared	r	source
lexical decision time	0.4997638055048588	0.24976386129269834	0.2508828750081674	0.5008820969132032	it-vergallito-2020.tsv
naming time	0.3763191635716358	0.14161611287125558	0.14225059366368953	0.3771612303295363	it-vergallito-2020.tsv
auditory	0.7742265011216714	0.5994266750391053	0.602112278421897	0.7759589411959225	it-vergallito-2020.tsv
gustatory	0.7275061656776654	0.5292652210990187	0.5316364810501792	0.7291340624673759	it-vergallito-2020.tsv
haptic	0.8428317477963062	0.7103653550933764	0.7135479955731854	0.8447177017046495	it-vergallito-2020.tsv
olfactory	0.7434890178937776	0.552775919728654	0.5552525143510942	0.7451526785505734	it-vergallito-2020.tsv
visual	0.7233716364474402	0.5232665244166476	0.5256109084866146	0.7249902816497712	it-vergallito-2020.tsv
modality exclusivity	0.5897223360543525	0.34777243364140265	0.34933055386381034	0.5910419222557824	it-vergallito-2020.tsv
