norm	adjusted r	adjusted r-squared	r-squared	r	source
sensory experience	0.7065611753468012	0.4992286945074531	0.5032547323663842	0.7094044913632731	es-diez-alamo-2019.tsv
valence	0.7354895872097779	0.5409449328940094	0.5600648135652189	0.7483747814866685	es-stadthagen-gonzalez-2017.tsv
arousal	0.6866893273236346	0.4715422322601858	0.4882090511247541	0.6987195797490966	es-stadthagen-gonzalez-2017.tsv
motor content	0.685950442245038	0.4705280092161632	0.5287937868222021	0.7271820864282907	es-san-miguel-abella-2019.tsv
age of acquisition	0.6808171429339961	0.4635119821128092	0.5209089606954638	0.7217402307585907	es-san-miguel-abella-2019.tsv
color vividness	0.6535385319902496	0.42711261279597046	0.42882792449394624	0.6548495434021057	es-diez-alamo-2018.tsv
visual motion	0.8671816999838734	0.7520041007869207	0.7550241975772296	0.8689212838785971	es-diez-alamo-2018.tsv
graspability	0.8671718291421711	0.7519869812577786	0.7550070092949585	0.8689113932357881	es-diez-alamo-2018.tsv
risk of pain	0.7876810954919901	0.6204415081954616	0.6229332411601021	0.7892611995785058	es-diez-alamo-2018.tsv
sound intensity	0.8171197666580232	0.6676847130632624	0.6703661777743598	0.8187589253097396	es-diez-alamo-2018.tsv
pleasant taste	0.8762994950119887	0.7679008049582663	0.7709847439340023	0.8780573693865352	es-diez-alamo-2018.tsv
smell intensity	0.793161332630977	0.6291048995809473	0.6316314252820756	0.7947524301831833	es-diez-alamo-2018.tsv
valence	0.7955786865574516	0.6329454465044797	0.6329454465044797	0.7955786865574516	es-guasch-2016.tsv
arousal	0.7452471293793024	0.5553932838480906	0.5553932838480906	0.7452471293793024	es-guasch-2016.tsv
concreteness	0.8283302468697642	0.6861309978793245	0.6861309978793245	0.8283302468697642	es-guasch-2016.tsv
imageability	0.8301204968275318	0.6891000392531881	0.6891000392531881	0.8301204968275318	es-guasch-2016.tsv
context availability	0.5795622206687282	0.33589236762646757	0.33589236762646757	0.5795622206687282	es-guasch-2016.tsv
familiarity	0.5328628386821131	0.28394280484835976	0.28394280484835976	0.5328628386821131	es-guasch-2016.tsv
happiness	0.6373112730799287	0.4061656587947595	0.41325612708911086	0.6428500035693481	es-stadthagen-gonzalez-2018.tsv
disgust	0.6401503811044721	0.4097925104282009	0.41694629297859137	0.6457137856501063	es-stadthagen-gonzalez-2018.tsv
anger	0.7093089489928129	0.503119185121289	0.5119021793334733	0.7154733952660107	es-stadthagen-gonzalez-2018.tsv
fear	0.6958358931086819	0.484187590138357	0.4926400938940455	0.7018832480505897	es-stadthagen-gonzalez-2018.tsv
sadness	0.7062421632114666	0.4987779930976118	0.5074852027530836	0.7123799567317175	es-stadthagen-gonzalez-2018.tsv
valence	0.6920427945448053	0.4789232294813836	0.4872838328473664	0.6980571845109586	es-stadthagen-gonzalez-2018.tsv
arousal	0.6492540699872912	0.4215308473950624	0.4288895470877315	0.6548965926676756	es-stadthagen-gonzalez-2018.tsv
