norm	adjusted r	adjusted r-squared	r-squared	r	source
valence	0.7993304893648333	0.638929231228224	0.6445338736074189	0.8028286701453922	en-warriner-2013.tsv
arousal	0.617451554871028	0.3812464226126501	0.38459068947767333	0.6201537627699064	en-warriner-2013.tsv
dominance	0.702033702116102	0.49285131890683986	0.4971745760902332	0.7051060743535211	en-warriner-2013.tsv
concreteness	0.8116804535608173	0.6588251586926941	0.7808719609426809	0.8836695994220243	en-brysbaert-2014.tsv
lexical decision time	0.5573008077465641	0.3105841903149728	0.33435171348653914	0.5782315396850461	en-keuleers-2012.tsv
arousal	0.6798711796627777	0.4622248209360569	0.5484475279183598	0.7405724325941115	en-scott-2019.tsv
valence	0.7887290447829353	0.6220935060842014	0.738137871642216	0.8591495048256829	en-scott-2019.tsv
dominance	0.6757021342950308	0.45657337429085976	0.5417418691105009	0.7360311604208758	en-scott-2019.tsv
concreteness	0.8367956125917138	0.7002268972527415	0.8308461453941183	0.9115076222358858	en-scott-2019.tsv
imageability	0.800801204306743	0.6412825688191298	0.7609064326180829	0.8722995085508664	en-scott-2019.tsv
familiarity	0.6809677470821739	0.4637170725661716	0.5502181418717844	0.741766905349507	en-scott-2019.tsv
age of acquisition	0.7546243343933074	0.5694578860585423	0.6756836840348474	0.8219998078070623	en-scott-2019.tsv
semantic size	0.757811002056413	0.5742775148377448	0.6814023589517088	0.8254709921927655	en-scott-2019.tsv
gender association	0.7412301645019626	0.5494221567676065	0.6519105206261793	0.8074097600513505	en-scott-2019.tsv
humorousness	0.7096973773703226	0.5036703674463141	0.5037711821715836	0.7097684003754912	en-engelthaler-2018.tsv
prevalence	0.6049406666616421	0.365953210181032	0.5076824145097839	0.7125183608229222	en-brysbaert-2019.tsv
auditory	0.645482195645825	0.41664726489575515	0.5318869903297245	0.7293058277085989	en-lynott-2019.tsv
gustatory	0.6779224426233983	0.45957883821247475	0.586692931098982	0.7659588312037287	en-lynott-2019.tsv
haptic	0.6539952466655976	0.4277097826611959	0.5460092701944479	0.7389244008655066	en-lynott-2019.tsv
interoceptive	0.6669687457395926	0.44484730779344533	0.5678868329010525	0.7535826649419773	en-lynott-2019.tsv
olfactory	0.6132663028964745	0.3760955582683104	0.48011915934155747	0.6929063135385313	en-lynott-2019.tsv
visual	0.5958407459479229	0.3550261945317772	0.4532222577891357	0.6732178382879762	en-lynott-2019.tsv
foot and leg	0.573906417401638	0.32936857593478314	0.42046804413073674	0.6484350731806051	en-lynott-2019.tsv
hand and arm	0.5951930190602173	0.35425472993801616	0.4522374151764663	0.672485996267927	en-lynott-2019.tsv
head	0.5015644108159837	0.25156685819718483	0.3211472877583468	0.566698586338758	en-lynott-2019.tsv
mouth	0.6005289630745636	0.36063503549141057	0.46038243808698043	0.6785148768354166	en-lynott-2019.tsv
torso	0.5457532113084066	0.2978465676534383	0.3802274196828407	0.6166258344270379	en-lynott-2019.tsv
perceptual exclusivity	0.49673571304946945	0.24674636861876487	0.3149935075471096	0.561242824049546	en-lynott-2019.tsv
action exclusivity	0.4605192895625607	0.21207801605920562	0.2707362970570627	0.5203232620756665	en-lynott-2019.tsv
sensorimotor exclusivity	0.4956475155501491	0.2456664596710353	0.31361490850558765	0.5600133110075042	en-lynott-2019.tsv
body object interaction	0.8169168956160551	0.6673532143429726	0.6726776496919085	0.820169281119397	en-pexman-2019.tsv
age of acquisition	0.7370967216622188	0.5433115770851905	0.583547157333131	0.7639025836670086	en-kuperman-2012.tsv
mean r	0.5398576078415533	0.29144623674440445	0.2953101073073038	0.543424426491213	en-binder-2016.tsv
vision	0.8504932319648939	0.7233387376180909	0.732928455730452	0.856112408349775	en-binder-2016.tsv
bright	0.6472948318574856	0.4189905993494106	0.4245453989619975	0.6515714841535022	en-binder-2016.tsv
dark	0.505280766853162	0.2553086533517195	0.2586934271650946	0.5086191376315824	en-binder-2016.tsv
color	0.8405069337573716	0.7064519056942187	0.7158177453530435	0.8460601310504139	en-binder-2016.tsv
pattern	0.8173933589328578	0.6681319032275397	0.6769897125506321	0.8227938457175237	en-binder-2016.tsv
large	0.7969575323307476	0.6351413083387146	0.6435617423507809	0.8022230003875362	en-binder-2016.tsv
small	0.761127739051341	0.5793154351534063	0.5869957534224857	0.7661564810288337	en-binder-2016.tsv
motion	0.7745668923741071	0.5999538707620816	0.6079078046547608	0.7796844263256518	en-binder-2016.tsv
biomotion	0.8310066532381702	0.6905720577261045	0.6997273690974734	0.8364970825397261	en-binder-2016.tsv
fast	0.755412603789562	0.5706482019641257	0.5782136137325895	0.7604035860860925	en-binder-2016.tsv
slow	0.5671438673308177	0.32165216625095616	0.3259164942126166	0.5708909652574794	en-binder-2016.tsv
shape	0.8675783050048692	0.7526921153151218	0.762670988056042	0.8733103618164862	en-binder-2016.tsv
complexity	0.7860681867726564	0.6179031942560519	0.6260950926647496	0.7912617093381618	en-binder-2016.tsv
face	0.822201315046483	0.6760150024641659	0.6849773225725924	0.8276335678140371	en-binder-2016.tsv
body	0.7987135762924291	0.6379433769538421	0.6464009596028514	0.8039906464647778	en-binder-2016.tsv
touch	0.783698475710284	0.6141833008306226	0.6223258824704225	0.788876341685072	en-binder-2016.tsv
temperature	0.7274359769140519	0.5291631005089011	0.5361785204020116	0.7322421187025584	en-binder-2016.tsv
texture	0.8265787581623257	0.6832324434451726	0.6922904493241806	0.8320399325297919	en-binder-2016.tsv
weight	0.8025841401832211	0.6441413020736403	0.6526810541844651	0.8078867830237508	en-binder-2016.tsv
pain	0.7887062893951785	0.6220576109315111	0.6303045868340122	0.7939172418042149	en-binder-2016.tsv
audition	0.8063154629576044	0.6501446258045358	0.6587639674345203	0.8116427585055633	en-binder-2016.tsv
loud	0.813977993936448	0.6625601746128041	0.671344116321686	0.8193559155346876	en-binder-2016.tsv
low	0.7371748903361498	0.5434268189421144	0.5506313411629379	0.7420453767546416	en-binder-2016.tsv
high	0.7775006533416002	0.6045072659466152	0.6125215668209074	0.7826375705400983	en-binder-2016.tsv
sound	0.8134917808433145	0.6617688774996272	0.6705423285270844	0.8188664900501695	en-binder-2016.tsv
music	0.8562305201508692	0.7331307036378281	0.7428502394815114	0.8618876025802387	en-binder-2016.tsv
speech	0.8145184779133899	0.6634403508623454	0.6722359615745357	0.8198999704686759	en-binder-2016.tsv
taste	0.8757103807618122	0.7668686709739981	0.7770354904755474	0.8814961658881719	en-binder-2016.tsv
smell	0.7937250269674526	0.6299994184344834	0.6383516834516072	0.798969137984445	en-binder-2016.tsv
head	0.7463279247508965	0.5570053712629799	0.5643899121698754	0.7512588849190907	en-binder-2016.tsv
upperlimb	0.6966251220180676	0.48528656062668757	0.4917202839683293	0.7012276976619858	en-binder-2016.tsv
lowerlimb	0.6818129930233889	0.4648689574555119	0.47103199287632364	0.6863177054952929	en-binder-2016.tsv
practice	0.8311977639683485	0.6908897228259825	0.7000492456664785	0.8366894559312186	en-binder-2016.tsv
landmark	0.779136519558788	0.6070537161101818	0.6151017767404304	0.7842842448630665	en-binder-2016.tsv
path	0.7688321352739387	0.591102852229884	0.5989394430738408	0.7739117799037826	en-binder-2016.tsv
scene	0.7869479388438938	0.6192870584506528	0.6274973035437486	0.7921472738978205	en-binder-2016.tsv
near	0.7452548219335597	0.5554047496152219	0.5627680701593631	0.7501786921523186	en-binder-2016.tsv
toward	0.6453542220275488	0.4164820718887827	0.4220036145085204	0.6496180527883446	en-binder-2016.tsv
away	0.6486988454354513	0.4208101920692876	0.4263891150702062	0.652984773995693	en-binder-2016.tsv
number	0.6342715835998319	0.4023004417622386	0.4076339703462077	0.6384621917907181	en-binder-2016.tsv
time	0.7648122073443969	0.5849377125030087	0.5926925685399804	0.7698652924635455	en-binder-2016.tsv
duration	0.7575652303446033	0.5739050782270718	0.5815136682793247	0.7625704349627808	en-binder-2016.tsv
long	0.6687897540267603	0.4472797350911745	0.4532095800639742	0.6732084224547211	en-binder-2016.tsv
short	0.7659813714088995	0.5867274613454585	0.5945060451132961	0.7710421811504842	en-binder-2016.tsv
caused	0.8508824347050995	0.7240009176896779	0.7335994147045032	0.8565041825376588	en-binder-2016.tsv
consequential	0.842895654388081	0.7104730841863114	0.71989223492363	0.8484646338673345	en-binder-2016.tsv
social	0.8229310074239197	0.6772154429797473	0.6861936780192516	0.8283680812412146	en-binder-2016.tsv
human	0.8497613086850168	0.7220942817380723	0.7316675013823271	0.8553756492806696	en-binder-2016.tsv
communication	0.787676347808449	0.6204340288968567	0.6286594800375348	0.7928804954326565	en-binder-2016.tsv
self	0.7554218461345756	0.5706621656173705	0.5782277625100251	0.7604128894949277	en-binder-2016.tsv
cognition	0.8456150420954202	0.7150647994180391	0.7245448251678995	0.8512019884656635	en-binder-2016.tsv
benefit	0.7375544053807843	0.5439865008966023	0.5511984431433375	0.7424273992407188	en-binder-2016.tsv
harm	0.7549813436822774	0.5699968293082971	0.5775536054544298	0.7599694766597076	en-binder-2016.tsv
pleasant	0.7354526176491734	0.5408905528070213	0.5480614502874174	0.7403117250776307	en-binder-2016.tsv
unpleasant	0.7960303757089725	0.633664359051368	0.6420652122963671	0.8012897180772802	en-binder-2016.tsv
happy	0.7193867931749928	0.5175173581945998	0.5243783837767252	0.724139754313161	en-binder-2016.tsv
sad	0.7811303854162398	0.6101646790205234	0.6182539834772349	0.786291284116284	en-binder-2016.tsv
angry	0.770912596344142	0.5943062312020659	0.6021852910854267	0.7760059865010236	en-binder-2016.tsv
disgusted	0.7264269183418745	0.5276960676916723	0.5346920382860695	0.7312263933188335	en-binder-2016.tsv
fearful	0.7797941757679455	0.6080789565616096	0.6161406093948127	0.784946246181745	en-binder-2016.tsv
surprised	0.7584201728159747	0.575201158534213	0.5828269314693257	0.7634310260064925	en-binder-2016.tsv
drive	0.7167514671917617	0.5137326657215432	0.5205435154564879	0.721487016831549	en-binder-2016.tsv
needs	0.670150996259926	0.4491023577881714	0.455056366319454	0.6745786583634662	en-binder-2016.tsv
attention	0.7540597101484933	0.5686060464692297	0.5761443842065113	0.7590417539282746	en-binder-2016.tsv
arousal	0.7865761057576819	0.6187019701489199	0.6269044583895307	0.7917729841245726	en-binder-2016.tsv
word length	0.6022477055043238	0.3627022987852228	0.3675108519888148	0.6062267331525514	en-binder-2016.tsv
word frequency	0.559153351479569	0.31265247047083444	0.31679748428389476	0.5628476563723924	en-binder-2016.tsv
word log10 frequency	0.7771874611934365	0.6040203498362994	0.6120281953833716	0.7823223091433426	en-binder-2016.tsv
familiarity	0.6505946900536558	0.4232734507260124	0.4260520510590059	0.6527266281216095	en-janschewitz-2008.tsv
tabooness	0.8746561999609331	0.7650234681300999	0.7700455040259211	0.8775223666812836	en-janschewitz-2008.tsv
personal use	0.6492370065618772	0.421508690689427	0.42427570616441224	0.6513644956277647	en-janschewitz-2008.tsv
offensiveness	0.8536731820732288	0.7287579017910321	0.7335418705117609	0.8564705894026723	en-janschewitz-2008.tsv
