word	potency	authority	community	arousal	valence
Abendessen	4.854	4.125	7.375	3.738	7.512
Abenteuer	7.0	4.409	3.909	7.332999999999998	7.444
Abfuhr	5.865	6.0870000000000015	3.957	6.784	2.622
Abgeordneter	4.944	6.273	4.182	4.857	4.333
abhängig	3.852	6.391	5.3039999999999985	6.074	2.63
Abiturient	5.9	5.105	4.842	5.034	6.3
ablehnen	6.059	5.9129999999999985	4.391	5.971	3.529
Absage	6.0	5.87	4.522	6.636	2.6060000000000003
Abweichler	4.8610000000000015	6.0	3.3	5.694	4.333
adelig	5.146	7.167000000000002	3.5	5.292999999999998	4.561
Affäre	5.744	4.87	4.261	7.487999999999999	3.907
aggressiv	7.1789999999999985	7.174	3.565	7.875	2.75
Akademiker	5.7029999999999985	6.357	3.429	4.892	6.2429999999999986
Aktivist	6.379	4.944	5.444	6.862	4.966
allein	4.667	4.87	2.565	5.3	3.367
alleinerziehend	4.867	5.4	3.467	5.774	4.1610000000000005
Alleinsein	5.0	5.235	3.0	4.7780000000000005	4.044
alleinstehend	4.2810000000000015	5.332999999999998	3.444	4.9060000000000015	4.688
Altar	5.897	5.682	6.773	4.718	4.615
Altenpfleger	4.872	4.5710000000000015	6.5710000000000015	4.077	5.718
amerikanisch	5.684	4.833	4.333	5.582999999999998	4.737
Amt	5.567	7.042999999999998	6.391	5.332999999999998	4.2
Anarchist	5.75	3.174	4.0	6.455	4.386
Anführer	7.0710000000000015	8.0	5.182	6.607	3.857
angeben	4.297	6.174	3.0	6.162000000000001	3.378
Angeber	4.622	6.292000000000002	2.833	6.595	3.297
angepasst	3.655	5.727	6.318	3.621	4.828
Angestellter	4.333	5.0710000000000015	5.2860000000000005	4.633	4.968
ängstlich	4.1110000000000015	5.478	3.826	6.5	3.444
angstvoll	4.59	5.545	4.182	7.205	2.769
Animateur	4.25	4.7330000000000005	5.667000000000002	5.727	4.545
anleiten	5.5	5.846	4.769	4.517	5.933
anmeckern*	5.436	6.6	4.04	6.925	3.0
anonym	4.143	3.75	4.042	4.294	4.722
anordnen	5.8610000000000015	7.318	5.682	4.972	4.8610000000000015
anpassen	4.333	4.5	6.922999999999999	4.833	4.432
anpumpen	3.7	4.773	4.591	6.313	3.375
Anschiss	6.05	7.125	4.292	7.25	2.375
Ansehen	6.5	6.609	4.739	4.19	6.381
Anstand	5.75	5.043	5.522	4.194	6.306
anständig	5.317	4.708	5.417000000000002	3.293	6.7620000000000005
anvertrauen	6.138	3.267	5.267	3.862	6.724
anweisen	6.214	7.24	4.56	5.75	4.5
Arbeit	6.042999999999998	5.3039999999999985	5.957000000000002	5.5	5.174
arbeitslos	4.029	5.5	4.1	6.647	2.588
Arbeitsloser	3.811	5.692	4.615	5.5139999999999985	3.297
Architekt	5.2410000000000005	5.105	4.105	5.0	5.806
Armee	7.459	7.737	7.053	6.9460000000000015	2.946
Armut	5.1610000000000005	5.2170000000000005	5.783	7.065	2.355
arrogant	5.784	6.87	2.826	6.73	2.8110000000000004
Arroganz	5.6560000000000015	6.8	2.64	6.909	2.818
asozial	5.0310000000000015	5.9129999999999985	3.609	7.063	2.406
assimiliert	5.37	6.227	5.955	5.222	4.296
Asyl	4.258	5.13	6.3039999999999985	5.0939999999999985	4.4060000000000015
Asylrecht	5.718	5.435	6.6960000000000015	5.744	4.564
Atheist	5.683	4.5710000000000015	3.357	4.683	5.61
aufhetzen	6.6110000000000015	7.316	5.789	7.75	2.472
aufmüpfig	5.619	5.292000000000002	3.125	6.214	4.595
aufopfern	5.813	4.625	5.707999999999998	6.3439999999999985	4.313
aufrichtig	6.686	3.882	4.294	3.486	7.971
Aufseher	6.525	7.684	4.737	6.025	3.2
Aufstand	7.4	5.435	7.261	7.471	4.371
ausbeuten	6.3420000000000005	7.636	3.5	7.216	2.053
Ausbilder	6.1560000000000015	6.4620000000000015	5.154	5.044	5.067
Ausflug	5.194	4.083	7.582999999999998	4.806	6.8610000000000015
ausgrenzen	6.371	7.25	5.25	7.087999999999999	2.514
Aushilfskraft	3.7	5.35	4.25	5.033	4.742
auslachen	5.853	6.455	4.8180000000000005	7.1179999999999986	2.471
ausländisch	4.893	5.412000000000001	5.235	5.464	5.5
auszeichnen	6.209	4.833	4.167	5.78	6.256
autark	6.563	4.364	3.318	5.097	6.1560000000000015
authentisch	6.3610000000000015	4.5	3.313	4.0280000000000005	6.917000000000002
autonom	6.3889999999999985	5.043	3.217	4.886	6.056
Autonomie	6.85	3.3080000000000003	4.769	4.35	6.425
Autor	5.857	5.5	2.2	4.657	6.457000000000002
autoritär	7.069	7.6110000000000015	4.167	6.414	3.241
Autorität	7.523	7.643	4.214	6.068	4.136
Azubi	4.029	5.3	5.9	5.171	5.171
Babysitter	4.622	5.125	3.875	4.595	5.541
Bande	6.332999999999998	4.526	6.8420000000000005	5.778	4.6389999999999985
Bankangestellter	5.029	6.056	3.944	4.472	4.583
bankrott	5.103	5.36	3.76	7.051	2.333
Bar	4.833	3.813	5.75	5.7	6.2
Barkeeper	5.0360000000000005	4.7	4.2	5.4289999999999985	5.8210000000000015
Bauer	5.2429999999999986	4.533	5.733	4.378	5.676
beaufsichtigen	5.6	7.1	4.65	5.125	4.55
bedrohen	6.933	7.667000000000002	4.0	7.267	2.367
bedürftig	3.939	5.2860000000000005	5.2860000000000005	6.0	3.424
Befehl	6.727	8.231	4.615	6.97	3.0
befehlen	6.766	8.12	5.08	6.574	3.085
Befehlshaber	7.063	7.905	3.238	6.813	2.794
befolgen	5.074	7.174	5.522	6.037000000000001	3.741
befördern	5.75	6.707999999999998	4.417	5.593	6.107
Befreiung	7.528	3.087	5.783	5.5	7.75
begabt	6.341	5.125	2.625	4.95	6.854
Begleiter	5.654	3.933	6.4670000000000005	3.3080000000000003	6.519
begrüßen	5.3439999999999985	4.933	6.067	4.375	7.0310000000000015
behindern	5.086	6.7	3.2	6.2570000000000014	3.343
behindert	4.2330000000000005	5.789	4.053	5.349	3.628
Behinderter	4.143	5.294	4.412	5.256	4.2330000000000005
Bekannter	5.25	4.556	5.332999999999998	4.2189999999999985	6.375
belohnen	5.8679999999999986	5.818	5.364	4.316	7.211
beneiden	4.29	5.457999999999998	3.542	5.71	3.645
benoten	6.121	7.44	4.52	6.152	4.455
Berater	5.5760000000000005	5.267	4.4	4.091	5.7879999999999985
bereichern	5.917000000000002	6.808	2.654	5.1389999999999985	5.0
bereuen	5.2970000000000015	4.625	4.042	5.7570000000000014	4.237
Berufsausbildung	5.459	5.471	5.412000000000001	5.081	5.865
berühren	6.146	3.545	6.182	4.583	7.75
berührt	5.29	4.364	4.0	4.813	6.6560000000000015
besaufen	5.1789999999999985	4.217	5.565	6.5710000000000015	3.214
bescheiden	4.523	3.625	5.0	2.909	6.477
beschimpfen	4.9060000000000015	6.5379999999999985	3.769	7.3439999999999985	2.5
beschuldigen	6.346	6.0	3.8	6.577000000000001	2.7310000000000003
beschützen	6.636	5.083	5.832999999999998	3.424	7.091
Beschützer	6.97	6.722	3.611	3.364	6.879
beschweren	5.107	5.059	4.0	6.5520000000000005	3.552
besiegen	7.462999999999999	7.0	4.261	7.024	5.122000000000001
Besitzer	6.12	6.938	2.688	4.2	4.92
bestrafen	6.892	8.217	4.957	7.162000000000001	2.649
Besucher	4.824	4.4289999999999985	5.143	5.194	5.694
beten	4.939	5.0	5.091	3.5	5.364
betreuen	5.0360000000000005	4.706	6.587999999999999	4.0360000000000005	5.2860000000000005
Betriebsrat	5.474	4.0	6.25	4.842	4.974
Betrug	5.622000000000001	5.957999999999998	3.875	7.351	2.27
betrügen	5.412000000000001	5.652	3.304	7.265	2.265
Bettler	3.444	5.273	3.636	5.7410000000000005	3.889
betucht	5.586	5.875	3.438	4.867	4.967
bewaffnet	7.265	7.063	3.75	7.7879999999999985	2.057
Bewährungshelfer	5.065	5.615	6.0	5.29	4.516
Bewerber	4.211	4.7860000000000005	3.714	5.579	5.184
bewundern	5.952000000000001	6.0	3.875	4.857	6.332999999999998
Beziehung	6.226	3.542	6.832999999999998	4.484	6.903
Bibel	5.535	6.609	7.042999999999998	3.929	5.318
bitten	4.636	5.087	5.2170000000000005	4.909	5.182
Blamage	5.289	5.957999999999998	4.958	7.026	2.8160000000000003
Bösewicht	5.962999999999999	6.4289999999999985	2.786	6.481	3.37
Bourgeoisie	5.452000000000001	6.313	3.688	5.129	4.645
brauchen	5.349	4.3039999999999985	5.609	5.581	4.767
Briefträger	4.263	4.7780000000000005	4.5	4.526	5.579
Bruder	5.424	3.737	5.8420000000000005	4.059	6.824
brüderlich	6.069	4.0	7.067	3.931	6.483
brutal	6.763	6.922999999999999	3.462	8.026	2.026
Bundestag	6.346	5.7860000000000005	6.643	5.077	4.667
Bündnis	6.444	3.389	6.8889999999999985	4.083	6.3610000000000015
Bürger	5.073	4.471	5.941	4.585	5.5
Bürgerinitiative	5.714	3.5380000000000003	7.231	5.103	6.345
bürgerlich	4.833	4.769	4.769	4.31	4.667
Bürgermeister	5.676	5.688	4.625	5.027	4.919
Bürgerrechte	6.385	3.0	7.28	4.8210000000000015	6.846
