	Unnamed: 0	adjusted r	adjusted r-squared	lang	norm	r-squared	source	vecs	label
1	1.0	0.8193947687780124	0.6714077871007725	de	arousal	0.7476701415376086	kanske (2010)	fasttext	de kanske (2010) arousal
73	1.0	0.7740803190036909	0.5992003402688558	de	arousal	0.6672609579831357	kanske (2010)	subs	de kanske (2010) arousal
217	1.0	0.7922536352011249	0.6276658224893971	de	arousal	0.7013025949602202	kanske (2010)	wiki	de kanske (2010) arousal
145	1.0	0.7970565990733692	0.6352992221264057	de	arousal	0.7074601582699395	kanske (2010)	wiki+subs	de kanske (2010) arousal
2	2.0	0.8565683201619896	0.7337092871051326	de	concreteness	0.8170482039032657	kanske (2010)	fasttext	de kanske (2010) concreteness
74	2.0	0.8509120416900225	0.7240513026930827	de	concreteness	0.8062932101259273	kanske (2010)	subs	de kanske (2010) concreteness
218	2.0	0.8493418591068195	0.7213815936310284	de	concreteness	0.8060129537776853	kanske (2010)	wiki	de kanske (2010) concreteness
146	2.0	0.8587938221798357	0.7375268290142513	de	concreteness	0.8212993641584091	kanske (2010)	wiki+subs	de kanske (2010) concreteness
0	0.0	0.8111409761627911	0.6579496832103257	de	valence	0.7326833888756409	kanske (2010)	fasttext	de kanske (2010) valence
72	0.0	0.7735006705476077	0.5983032873375989	de	valence	0.6662620126253884	kanske (2010)	subs	de kanske (2010) valence
216	0.0	0.7769002173465859	0.6035739477131724	de	valence	0.6743842991208631	kanske (2010)	wiki	de kanske (2010) valence
144	0.0	0.8010012448479437	0.6416029942479553	de	valence	0.7144799490511752	kanske (2010)	wiki+subs	de kanske (2010) valence
6	3.0	0.7900225428452012	0.6241356182035979	de	arousal	0.6498887869158823	schauenburg (2015)	fasttext	de schauenburg (2015) arousal
78	3.0	0.741766237701039	0.5502171513931543	de	arousal	0.5828226122164524	schauenburg (2015)	subs	de schauenburg (2015) arousal
222	3.0	0.7606386777555142	0.5785711980976569	de	arousal	0.6046456613493174	schauenburg (2015)	wiki	de schauenburg (2015) arousal
150	3.0	0.7754357594724528	0.6013006170686196	de	arousal	0.6261115648602861	schauenburg (2015)	wiki+subs	de schauenburg (2015) arousal
4	1.0	0.7258468934046851	0.5268537126652322	de	authority	0.5485928221684092	schauenburg (2015)	fasttext	de schauenburg (2015) authority
76	1.0	0.6606195156446398	0.4364181444505586	de	authority	0.4622799604179991	schauenburg (2015)	subs	de schauenburg (2015) authority
