	Unnamed: 0	adjusted rank r	lang	rank r	source	vecs	label
1	0.0	0.5802359369176731	ar	0.5802359369176731	mc30	fasttext	ar mc30
38	0.0	0.6628088301269007	ar	0.6628088301269007	mc30	subs	ar mc30
112	0.0	0.7447140180002048	ar	0.7447140180002048	mc30	wiki	ar mc30
75	0.0	0.7249054263678025	ar	0.7249054263678025	mc30	wiki+subs	ar mc30
0	0.0	0.4844472014141261	ar	0.4872154711364925	wordsim353 all	fasttext	ar wordsim353
37	0.0	0.5474204758120119	ar	0.5569133164330294	wordsim353 all	subs	ar wordsim353
111	0.0	0.5599881665345123	ar	0.5664248121268629	wordsim353 all	wiki	ar wordsim353
74	0.0	0.5836215242053554	ar	0.5886383281383527	wordsim353 all	wiki+subs	ar wordsim353
4	0.0	0.6519741556306363	de	0.6999722529776771	gur350	fasttext	de gur350
41	0.0	0.609953865033303	de	0.7706998294644621	gur350	subs	de gur350
115	0.0	0.6402175305019251	de	0.7370925515647164	gur350	wiki	de gur350
78	0.0	0.6548017287956421	de	0.7489562257466493	gur350	wiki+subs	de gur350
2	0.0	0.8248298458022721	de	0.8248298458022721	gur65	fasttext	de gur65
39	0.0	0.7550372239222793	de	0.7550372239222793	gur65	subs	de gur65
113	0.0	0.8129134990213837	de	0.8129134990213837	gur65	wiki	de gur65
76	0.0	0.8264697100381743	de	0.8264697100381743	gur65	wiki+subs	de gur65
3	0.0	0.7295456720468053	de	0.7374468887115722	schm280	fasttext	de schm280
40	0.0	0.7191516109368202	de	0.7348994564317871	schm280	subs	de schm280
114	0.0	0.7784993903978963	de	0.7926539247687672	schm280	wiki	de schm280
77	0.0	0.7783647679706409	de	0.7925168546610164	schm280	wiki+subs	de schm280
5	0.0	0.5534131017824425	de	0.5534131017824425	yp130	fasttext	de yp130
42	0.0	0.4734563091348522	de	0.477126513081634	yp130	subs	de yp130
116	0.0	0.4032819875500404	de	0.419413267052042	yp130	wiki	de yp130
79	0.0	0.3864029808650215	de	0.3893983528097116	yp130	wiki+subs	de yp130
6	0.0	0.3545841332693254	de	0.4121344376219385	zg222	fasttext	de zg222
43	0.0	0.2654282877706244	de	0.42392143802214827	zg222	subs	de zg222
117	0.0	0.3776038760568713	de	0.4605937389265133	zg222	wiki	de zg222
80	0.0	0.3748963894976611	de	0.4598176710965789	zg222	wiki+subs	de zg222
11	0.0	0.8518972322871678	en	0.8518972322871678	mc30	fasttext	en mc30
48	0.0	0.8271948830750792	en	0.8271948830750792	mc30	subs	en mc30
122	0.0	0.8162902424319048	en	0.8162902424319048	mc30	wiki	en mc30
85	0.0	0.8421053100769704	en	0.8421053100769704	mc30	wiki+subs	en mc30
14	0.0	0.8365458460333294	en	0.8365458460333294	men3000	fasttext	en men3000
51	0.0	0.8060876636986685	en	0.8060876636986685	men3000	subs	en men3000
125	0.0	0.7802858575940601	en	0.7802858575940601	men3000	wiki	en men3000
88	0.0	0.7804986326212668	en	0.7804986326212668	men3000	wiki+subs	en men3000
20	0.0	0.7227201947373054	en	0.7252471884251981	mturk287	fasttext	en mturk287
57	0.0	0.7108132496299793	en	0.7158014127852774	mturk287	subs	en mturk287
131	0.0	0.6343691466908981	en	0.6644669529207582	mturk287	wiki	en mturk287
94	0.0	0.6866776756574505	en	0.6939313130763672	mturk287	wiki+subs	en mturk287
19	0.0	0.7616210107807205	en	0.7616210107807205	mturk771	fasttext	en mturk771
56	0.0	0.7336410487278594	en	0.7336410487278594	mturk771	subs	en mturk771
130	0.0	0.6765284848722811	en	0.6765284848722811	mturk771	wiki	en mturk771
93	0.0	0.684597892627227	en	0.684597892627227	mturk771	wiki+subs	en mturk771
