	mean	sd	hpd_5%	hpd_95%	mcse_mean	mcse_sd	ess_mean	ess_sd	ess_bulk	ess_tail	r_hat
ŷ[7]	0.716	0.047	0.638	0.79	0.0	0.0	17392.0	17392.0	17410.0	7541.0	1.0
ŷ[8]	0.716	0.047	0.638	0.79	0.0	0.0	17392.0	17392.0	17410.0	7541.0	1.0
ŷ[9]	0.575	0.08	0.445	0.705	0.001	0.0	14958.0	14701.0	14917.0	7705.0	1.0
ŷ[10]	0.761	0.034	0.709	0.819	0.0	0.0	15171.0	15171.0	15229.0	8006.0	1.0
ŷ[11]	0.761	0.034	0.709	0.819	0.0	0.0	15171.0	15171.0	15229.0	8006.0	1.0
ŷ[12]	0.761	0.034	0.709	0.819	0.0	0.0	15171.0	15171.0	15229.0	8006.0	1.0
ŷ[13]	0.761	0.034	0.709	0.819	0.0	0.0	15171.0	15171.0	15229.0	8006.0	1.0
ŷ[14]	0.761	0.034	0.709	0.819	0.0	0.0	15171.0	15171.0	15229.0	8006.0	1.0
ŷ[15]	0.526	0.065	0.418	0.632	0.001	0.001	4837.0	4837.0	4829.0	7506.0	1.0
ŷ[16]	0.496	0.057	0.405	0.59	0.001	0.001	4206.0	4206.0	4214.0	7453.0	1.0
ŷ[17]	0.733	0.047	0.658	0.81	0.001	0.0	7356.0	7277.0	7317.0	8206.0	1.0
ŷ[18]	0.593	0.057	0.496	0.682	0.001	0.0	7907.0	7822.0	7895.0	8224.0	1.0
ŷ[19]	0.661	0.052	0.58	0.747	0.0	0.0	15704.0	15563.0	15667.0	7479.0	1.0
ŷ[20]	0.661	0.052	0.58	0.747	0.0	0.0	15704.0	15563.0	15667.0	7479.0	1.0
ŷ[21]	0.513	0.081	0.379	0.646	0.001	0.0	14043.0	13527.0	14006.0	7188.0	1.0
ŷ[22]	0.712	0.038	0.65	0.773	0.0	0.0	14494.0	14460.0	14500.0	8833.0	1.0
ŷ[23]	0.712	0.038	0.65	0.773	0.0	0.0	14494.0	14460.0	14500.0	8833.0	1.0
ŷ[24]	0.712	0.038	0.65	0.773	0.0	0.0	14494.0	14460.0	14500.0	8833.0	1.0
ŷ[25]	0.712	0.038	0.65	0.773	0.0	0.0	14494.0	14460.0	14500.0	8833.0	1.0
ŷ[26]	0.712	0.038	0.65	0.773	0.0	0.0	14494.0	14460.0	14500.0	8833.0	1.0
ŷ[27]	0.603	0.063	0.495	0.704	0.001	0.001	5434.0	5434.0	5449.0	8403.0	1.0
ŷ[28]	0.574	0.056	0.481	0.665	0.001	0.001	4639.0	4639.0	4666.0	7956.0	1.0
ŷ[29]	0.761	0.043	0.695	0.834	0.0	0.0	7280.0	7279.0	7306.0	8533.0	1.0
ŷ[30]	0.628	0.054	0.537	0.714	0.001	0.0	8488.0	8488.0	8510.0	8383.0	1.0
ŷ[31]	0.718	0.047	0.641	0.794	0.0	0.0	14816.0	14810.0	14812.0	7697.0	1.0
ŷ[32]	0.718	0.047	0.641	0.794	0.0	0.0	14816.0	14810.0	14812.0	7697.0	1.0
ŷ[33]	0.577	0.08	0.441	0.702	0.001	0.0	14620.0	14252.0	14561.0	7516.0	1.0
ŷ[34]	0.763	0.033	0.71	0.817	0.0	0.0	14683.0	14679.0	14666.0	8695.0	1.0
ŷ[35]	0.763	0.033	0.71	0.817	0.0	0.0	14683.0	14679.0	14666.0	8695.0	1.0
ŷ[36]	0.763	0.033	0.71	0.817	0.0	0.0	14683.0	14679.0	14666.0	8695.0	1.0
ŷ[37]	0.763	0.033	0.71	0.817	0.0	0.0	14683.0	14679.0	14666.0	8695.0	1.0
ŷ[38]	0.763	0.033	0.71	0.817	0.0	0.0	14683.0	14679.0	14666.0	8695.0	1.0
ŷ[39]	0.31	0.043	0.238	0.382	0.0	0.0	9248.0	9248.0	9231.0	8463.0	1.0
ŷ[40]	0.508	0.06	0.411	0.608	0.001	0.0	7553.0	7423.0	7574.0	7934.0	1.0
ŷ[41]	0.478	0.051	0.393	0.561	0.001	0.0	6689.0	6689.0	6654.0	7397.0	1.0
ŷ[42]	0.807	0.035	0.75	0.865	0.0	0.0	11898.0	11898.0	12045.0	8651.0	1.0
ŷ[43]	0.703	0.067	0.595	0.815	0.001	0.0	15162.0	15162.0	15253.0	7298.0	1.0
ŷ[44]	0.638	0.074	0.514	0.758	0.001	0.0	15666.0	15576.0	15667.0	7797.0	1.0
ŷ[45]	0.65	0.073	0.528	0.767	0.001	0.0	19320.0	19174.0	19258.0	7762.0	1.0
ŷ[46]	0.55	0.066	0.444	0.659	0.001	0.0	16885.0	16615.0	16856.0	7058.0	1.0
ŷ[47]	0.565	0.078	0.441	0.696	0.001	0.0	16987.0	16197.0	16902.0	7236.0	1.0
ŷ[48]	0.69	0.046	0.614	0.766	0.0	0.0	13198.0	13198.0	13245.0	7973.0	1.0
ŷ[49]	0.527	0.065	0.425	0.637	0.0	0.0	17818.0	17594.0	17816.0	7639.0	1.0
ŷ[50]	0.456	0.08	0.326	0.589	0.001	0.0	15415.0	14184.0	15529.0	8033.0	1.0
ŷ[51]	0.477	0.08	0.351	0.613	0.001	0.0	14419.0	13896.0	14427.0	7605.0	1.0
ŷ[52]	0.698	0.044	0.626	0.77	0.0	0.0	12180.0	12180.0	12352.0	7663.0	1.0
ŷ[53]	0.567	0.065	0.464	0.677	0.001	0.0	14763.0	14638.0	14736.0	7968.0	1.0
ŷ[54]	0.753	0.045	0.678	0.825	0.0	0.0	14109.0	14109.0	14227.0	8119.0	1.0
ŷ[55]	0.726	0.04	0.66	0.79	0.0	0.0	19006.0	18898.0	18904.0	8048.0	1.0
ŷ[56]	0.726	0.04	0.66	0.79	0.0	0.0	19006.0	18898.0	18904.0	8048.0	1.0
ŷ[57]	0.726	0.04	0.66	0.79	0.0	0.0	19006.0	18898.0	18904.0	8048.0	1.0
ŷ[58]	0.726	0.04	0.66	0.79	0.0	0.0	19006.0	18898.0	18904.0	8048.0	1.0
ŷ[59]	0.601	0.062	0.496	0.697	0.0	0.0	17791.0	17079.0	17633.0	7537.0	1.0
ŷ[60]	0.601	0.062	0.496	0.697	0.0	0.0	17791.0	17079.0	17633.0	7537.0	1.0
ŷ[61]	0.708	0.067	0.598	0.816	0.001	0.0	16718.0	16685.0	16649.0	7592.0	1.0
ŷ[62]	0.675	0.049	0.599	0.757	0.0	0.0	19221.0	18939.0	19058.0	8063.0	1.0
ŷ[63]	0.675	0.049	0.599	0.757	0.0	0.0	19221.0	18939.0	19058.0	8063.0	1.0
ŷ[64]	0.675	0.049	0.599	0.757	0.0	0.0	19221.0	18939.0	19058.0	8063.0	1.0
ŷ[65]	0.456	0.055	0.368	0.549	0.001	0.0	8599.0	8599.0	8610.0	8703.0	1.0
ŷ[66]	0.657	0.056	0.568	0.75	0.001	0.0	7958.0	7958.0	7977.0	8215.0	1.0
ŷ[67]	0.63	0.049	0.546	0.708	0.001	0.0	7594.0	7586.0	7570.0	8421.0	1.0
ŷ[68]	0.826	0.034	0.773	0.883	0.0	0.0	11943.0	11943.0	12023.0	8395.0	1.0
ŷ[69]	0.728	0.064	0.619	0.828	0.001	0.0	15187.0	15187.0	15432.0	7432.0	1.0
ŷ[70]	0.666	0.072	0.547	0.781	0.001	0.0	16315.0	16315.0	16423.0	7691.0	1.0
ŷ[71]	0.678	0.071	0.555	0.786	0.001	0.0	18673.0	18571.0	18605.0	8083.0	1.0
ŷ[72]	0.58	0.065	0.474	0.686	0.0	0.0	17650.0	17410.0	17619.0	7645.0	1.0
ŷ[73]	0.596	0.077	0.473	0.723	0.001	0.0	17764.0	17082.0	17619.0	7400.0	1.0
ŷ[74]	0.716	0.045	0.64	0.789	0.0	0.0	12683.0	12683.0	12777.0	8699.0	1.0
ŷ[75]	0.558	0.066	0.448	0.666	0.0	0.0	19863.0	19564.0	19866.0	7691.0	1.0
ŷ[76]	0.487	0.08	0.356	0.619	0.001	0.0	16728.0	15745.0	16664.0	7828.0	1.0
ŷ[77]	0.508	0.08	0.383	0.648	0.001	0.0	15013.0	14611.0	15015.0	7938.0	1.0
ŷ[78]	0.723	0.043	0.654	0.796	0.0	0.0	13572.0	13537.0	13520.0	8844.0	1.0
ŷ[79]	0.598	0.064	0.493	0.702	0.001	0.0	15206.0	15206.0	15250.0	8114.0	1.0
ŷ[80]	0.772	0.044	0.702	0.844	0.0	0.0	12633.0	12594.0	12592.0	7963.0	1.0
