lang	vecs	wordcount	language	corpus	bigramfreq	trigramfreq	wordfreq	topvecs	binary	allvecs
bn	wiki	18000000	Bengali	Wikipedia						
bn	wiki+subs	20227000	Bengali	Wikipedia + OpenSubtitles						
br	subs	110000	Breton	OpenSubtitles						
br	wiki	7644000	Breton	Wikipedia						
br	wiki+subs	7754000	Breton	Wikipedia + OpenSubtitles						
bs	subs	91000000	Bosnian	OpenSubtitles						
bs	wiki	13000000	Bosnian	Wikipedia						
bs	wiki+subs	104000000	Bosnian	Wikipedia + OpenSubtitles						
ca	subs	3098000	Catalan	OpenSubtitles						
ca	wiki	175000000	Catalan	Wikipedia						
ca	wiki+subs	178098000	Catalan	Wikipedia + OpenSubtitles						
cs	subs	249000000	Czech	OpenSubtitles	https://hdl.handle.net/1839/dca8b302-7e14-40a8-a12f-7a549aaae454	https://hdl.handle.net/1839/befd2bee-b401-48f5-9f63-610091ba3b69	https://hdl.handle.net/1839/40a0c81b-3da5-44d8-8bcf-0b18d6ebf3c8	https://hdl.handle.net/1839/d61ab6d0-ec89-486a-a57e-08dcf26bae65	https://hdl.handle.net/1839/2214b667-b80f-4ffd-89b6-d7c757e3215f	https://hdl.handle.net/1839/3683be29-bd28-4c16-b330-a626b7649e88
cs	wiki	100000000	Czech	Wikipedia	https://hdl.handle.net/1839/0da95ed3-afc5-4340-ae36-7618e365b169	https://hdl.handle.net/1839/58f94ca3-e88e-43a0-8782-892cb4e200d7	https://hdl.handle.net/1839/0b007cb2-03bc-4115-a6dd-15ae9ba4e607	https://hdl.handle.net/1839/24f417b0-8e91-442d-a4dd-9b5b1792367d	https://hdl.handle.net/1839/ad6cea21-034e-492e-9ae6-5c8348b02b52	https://hdl.handle.net/1839/3062b2e7-17f7-4f1d-b488-f798ac3e9283
cs	wiki+subs	349000000	Czech	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/d769f4e1-7b87-46fa-9437-6e7e7c02ece9	https://hdl.handle.net/1839/872a5648-f817-435c-9533-398a2c17d0c2	https://hdl.handle.net/1839/96115e3b-42cb-407c-8b46-113fba6e1059
da	subs	87000000	Danish	OpenSubtitles	https://hdl.handle.net/1839/d5f8a124-177f-4d2e-935f-c35ba8efd1bb	https://hdl.handle.net/1839/bdd77de9-67bc-47a7-9800-1001512f76cb	https://hdl.handle.net/1839/ef00a3ec-3ebb-49d3-900c-4962388cc5e0	https://hdl.handle.net/1839/d9f357f7-345e-4310-a9bc-700dcbafa0c4	https://hdl.handle.net/1839/ca11d2f3-645e-4254-b39c-87d51584584a	https://hdl.handle.net/1839/8d5afcf4-ea98-4ef2-9622-c960cdfb53c9
da	wiki	56000000	Danish	Wikipedia	https://hdl.handle.net/1839/86fdea87-d816-44a2-bba3-60e6f4b04286	https://hdl.handle.net/1839/968f9a25-2503-4e8a-8f3b-90c31c810500	https://hdl.handle.net/1839/0eb50889-90a8-4426-830f-b0228efdfe44	https://hdl.handle.net/1839/6d1ab987-74df-45a4-9c6c-f0f3c9caca91	https://hdl.handle.net/1839/09b015f6-fe78-47d4-9507-aac431bf638d	https://hdl.handle.net/1839/cef3fd05-6d92-4988-908d-506318b53033
da	wiki+subs	143000000	Danish	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/957868ff-111f-43b6-bfbf-cca56ad53f24	https://hdl.handle.net/1839/78c570b3-44ae-424c-84d1-bd4fa54a4449	https://hdl.handle.net/1839/382f4cdb-7896-438b-9662-a5e0675beabe
de	subs	139000000	German	OpenSubtitles	https://hdl.handle.net/1839/e49e6ca4-383c-4930-a59e-57cb8eee21a2	https://hdl.handle.net/1839/2a5ce07d-88a8-4a94-8bd2-84269d9975dc	https://hdl.handle.net/1839/9295e5db-5524-4204-9c36-7682d76b9443	https://hdl.handle.net/1839/49df810f-ef2f-4402-8354-4489954c7e49	https://hdl.handle.net/1839/eb620604-a353-4d6d-9285-b607e06c2964	https://hdl.handle.net/1839/05e49d71-d090-44e3-8168-61887d85b338
de	wiki	976000000	German	Wikipedia	https://hdl.handle.net/1839/2fbaff9e-d1ef-4542-a384-65e5ed0efd98	https://hdl.handle.net/1839/943ded9d-c572-4912-acf2-615d79f23943	https://hdl.handle.net/1839/89884286-2916-4dee-b73a-d43224764299	https://hdl.handle.net/1839/17217216-1c2f-48e3-b138-71d677cb616d	https://hdl.handle.net/1839/d9668dc4-eb18-49da-8c72-8be6478c4bad	https://hdl.handle.net/1839/9f3b5785-d647-48d9-8037-101d6dde872a
de	wiki+subs	1115000000	German	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/450c6058-018e-4d6e-b961-74e329c04cc9	https://hdl.handle.net/1839/bc689f51-d29e-410c-83bf-840fb2d7dc4f	https://hdl.handle.net/1839/af15c802-760d-4a67-acad-175878938b88
el	subs	271000000	Greek	OpenSubtitles						
el	wiki	58000000	Greek	Wikipedia						
el	wiki+subs	329000000	Greek	Wikipedia + OpenSubtitles						
en	subs	750000000	English	OpenSubtitles	https://hdl.handle.net/1839/0a061227-c45f-4728-8565-cad3ee86b144	https://hdl.handle.net/1839/fbffa925-95ea-4415-a2e0-739961378508	https://hdl.handle.net/1839/53f39d94-9eec-48c6-a625-34374804fea3	https://hdl.handle.net/1839/15b83dfa-39e1-46c4-bf97-4bc307f0aa57	https://hdl.handle.net/1839/f3cecc3c-59f2-4b85-acba-c03bd3867a80	https://hdl.handle.net/1839/6c6c0bf9-0887-4ae9-8fc8-e0fab7119e25
en	wiki	2477000000	English	Wikipedia	https://hdl.handle.net/1839/f503769f-58d6-4fce-9873-b975eb25a87d	https://hdl.handle.net/1839/e862da78-e3de-4733-906e-18c2095fccc6	https://hdl.handle.net/1839/733f71b9-7493-4e5d-9dc8-e178c07546d5	https://hdl.handle.net/1839/8b910258-be4f-41c3-bb43-b5a2230661b6	https://hdl.handle.net/1839/ee4d31c0-c42c-472c-ab45-5d55b44260e1	https://hdl.handle.net/1839/3b3fdcce-8d17-44e4-9af4-d58a5e20e440
en	wiki+subs	3227000000	English	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/d841c7ef-0e95-417a-894a-edeb5089be54	https://hdl.handle.net/1839/42ea80c5-5602-4583-b027-7eb6663c7213	https://hdl.handle.net/1839/eda4b2e6-7e73-4d3b-95f5-0a6ee3d2b9a0
eo	subs	381000	Esperanto	OpenSubtitles						
eo	wiki	37000000	Esperanto	Wikipedia						
eo	wiki+subs	37381000	Esperanto	Wikipedia + OpenSubtitles						
es	subs	514000000	Spanish	OpenSubtitles	https://hdl.handle.net/1839/bf4d10b9-b107-46b2-ba7c-574ef4ae6623	https://hdl.handle.net/1839/f555f8c6-0962-421a-a1da-97d8b559f1c4	https://hdl.handle.net/1839/956778b0-0568-4aaf-807c-0025dc73e6e9	https://hdl.handle.net/1839/d8e39a33-6f2e-4486-ab81-e7e2895f53cb	https://hdl.handle.net/1839/5dbd8044-0e85-4cad-85ca-c2ef425b1872	https://hdl.handle.net/1839/0680516a-8143-44a9-81b7-50ac6b1b1941
es	wiki	585000000	Spanish	Wikipedia	https://hdl.handle.net/1839/8501af8a-439f-4881-8a84-5662a622bfc3	https://hdl.handle.net/1839/3743deda-e82b-4c16-a6f8-eed7a8ca1571	https://hdl.handle.net/1839/0efe4611-852a-4763-9fdd-4c94a62716ed	https://hdl.handle.net/1839/205f6772-8e86-49e9-a06c-c25db5500316	https://hdl.handle.net/1839/627fd4e5-abe2-40d0-8976-fdef13b4d0c3	https://hdl.handle.net/1839/86f7dc0a-2749-44ec-aac3-a95dd6040c35
es	wiki+subs	1099000000	Spanish	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/7cebc519-9412-480f-b2a0-e27af00a91d0	https://hdl.handle.net/1839/8a687c2c-5cc5-4b54-bf9c-d3a1e25cb8ac	https://hdl.handle.net/1839/9213f627-e94f-4024-840f-88ed7b07c71b
et	subs	60000000	Estonian	OpenSubtitles						
et	wiki	29000000	Estonian	Wikipedia						
et	wiki+subs	89000000	Estonian	Wikipedia + OpenSubtitles						
eu	subs	3400000	Basque	OpenSubtitles						
eu	wiki	20000000	Basque	Wikipedia						
eu	wiki+subs	23400000	Basque	Wikipedia + OpenSubtitles						
fa	subs	45000000	Farsi	OpenSubtitles						
fa	wiki	86000000	Farsi	Wikipedia						
fa	wiki+subs	131000000	Farsi	Wikipedia + OpenSubtitles						
fi	subs	116000000	Finnish	OpenSubtitles						
fi	wiki	73000000	Finnish	Wikipedia						
fi	wiki+subs	189000000	Finnish	Wikipedia + OpenSubtitles						
fr	subs	335000000	French	OpenSubtitles						
fr	wiki	724000000	French	Wikipedia						
fr	wiki+subs	1059000000	French	Wikipedia + OpenSubtitles						
gl	subs	1666000	Galician	OpenSubtitles						
gl	wiki	40000000	Galician	Wikipedia						
gl	wiki+subs	41666000	Galician	Wikipedia + OpenSubtitles						
he	subs	169000000	Hebrew	OpenSubtitles						
he	wiki	132000000	Hebrew	Wikipedia						
he	wiki+subs	301000000	Hebrew	Wikipedia + OpenSubtitles						
hi	subs	695000	Hindi	OpenSubtitles						
hi	wiki	31000000	Hindi	Wikipedia						
hi	wiki+subs	31695000	Hindi	Wikipedia + OpenSubtitles						
hr	subs	241000000	Croatian	OpenSubtitles						
hr	wiki	42000000	Croatian	Wikipedia						
hr	wiki+subs	283000000	Croatian	Wikipedia + OpenSubtitles						
hu	subs	227000000	Hungarian	OpenSubtitles						
hu	wiki	120000000	Hungarian	Wikipedia						
hu	wiki+subs	347000000	Hungarian	Wikipedia + OpenSubtitles						
hy	subs	23000	Armenian	OpenSubtitles						
hy	wiki	38000000	Armenian	Wikipedia						
hy	wiki+subs	38023000	Armenian	Wikipedia + OpenSubtitles						
id	subs	65000000	Indonesian	OpenSubtitles						
id	wiki	69000000	Indonesian	Wikipedia						
id	wiki+subs	134000000	Indonesian	Wikipedia + OpenSubtitles						
is	subs	7474000	Icelandic	OpenSubtitles						
is	wiki	7196000	Icelandic	Wikipedia						
is	wiki+subs	14670000	Icelandic	Wikipedia + OpenSubtitles						
it	subs	277000000	Italian	OpenSubtitles						
it	wiki	476000000	Italian	Wikipedia						
it	wiki+subs	753000000	Italian	Wikipedia + OpenSubtitles						
ka	subs	1108000	Georgian	OpenSubtitles						
ka	wiki	15000000	Georgian	Wikipedia						
ka	wiki+subs	16108000	Georgian	Wikipedia + OpenSubtitles						
kk	subs	13000	Kazakh	OpenSubtitles						
kk	wiki	18000000	Kazakh	Wikipedia						
kk	wiki+subs	18013000	Kazakh	Wikipedia + OpenSubtitles						
ko	subs	6834000	Korean	OpenSubtitles						
ko	wiki	62000000	Korean	Wikipedia						
ko	wiki+subs	68834000	Korean	Wikipedia + OpenSubtitles						
lt	subs	6252000	Lithuanian	OpenSubtitles						
lt	wiki	23000000	Lithuanian	Wikipedia						
lt	wiki+subs	29252000	Lithuanian	Wikipedia + OpenSubtitles						
lv	subs	2167000	Latvian	OpenSubtitles						
lv	wiki	13000000	Latvian	Wikipedia						
lv	wiki+subs	15167000	Latvian	Wikipedia + OpenSubtitles						
mk	subs	20000000	Macedonian	OpenSubtitles						
mk	wiki	26000000	Macedonian	Wikipedia						
mk	wiki+subs	46000000	Macedonian	Wikipedia + OpenSubtitles						
ml	subs	1520000	Malayalam	OpenSubtitles						
ml	wiki	10000000	Malayalam	Wikipedia						
ml	wiki+subs	11520000	Malayalam	Wikipedia + OpenSubtitles						
ms	subs	12000000	Malay	OpenSubtitles						
ms	wiki	28000000	Malay	Wikipedia						
ms	wiki+subs	40000000	Malay	Wikipedia + OpenSubtitles						
nl	subs	264000000	Dutch	OpenSubtitles	https://hdl.handle.net/1839/41be155e-d2b5-4142-95bd-2255f5432edd	https://hdl.handle.net/1839/2d2e0374-5bfa-49d0-91dd-1ba44027647c	https://hdl.handle.net/1839/06b54ceb-2b05-49b5-8bbb-26a3a21d2e68	https://hdl.handle.net/1839/90f21a0d-b28f-407e-ace0-c0f81be08367	https://hdl.handle.net/1839/d65f47fd-d102-4d5e-a947-afb963af1244	https://hdl.handle.net/1839/b6921635-11d4-44f1-abb8-cd767bf4e091
nl	wiki	248000000	Dutch	Wikipedia	https://hdl.handle.net/1839/dbc0da7e-9202-495c-8c2e-e8e4d87537c1	https://hdl.handle.net/1839/f1e0c3b6-0bc5-466a-93b6-1358b4923aac	https://hdl.handle.net/1839/c2c50969-0f8c-4dc6-9ba7-2af8f153fea1	https://hdl.handle.net/1839/eeb6636c-ec92-4ea0-b198-e6ef07cc12d0	https://hdl.handle.net/1839/7a21000d-fa22-426b-8cbc-06bfa46035ba	https://hdl.handle.net/1839/70da1b7e-b71c-4778-acdc-5f48ece36276
nl	wiki+subs	512000000	Dutch	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/156071ee-46e5-4e2f-8043-635947567261	https://hdl.handle.net/1839/2812b150-db64-4aa1-b642-40afeb41885e	https://hdl.handle.net/1839/aaf3950b-0e3d-4098-bbea-8c7f598d43d4
no	subs	45000000	Norwegian	OpenSubtitles	https://hdl.handle.net/1839/388ae8f9-5add-4742-ada1-abf78d39d55e	https://hdl.handle.net/1839/6928a125-1b6f-47f4-a0d5-ba9e946b75a4	https://hdl.handle.net/1839/6089012f-91b2-4e96-b951-bf18b84fb74f	https://hdl.handle.net/1839/3d925474-7d0d-44d1-8450-098d974dc961	https://hdl.handle.net/1839/92522ed7-33ad-4872-812d-1521f2c6bd44	https://hdl.handle.net/1839/21df17f3-1da5-4c8e-a47a-f9a2b69b283e
no	wiki	90000000	Norwegian	Wikipedia	https://hdl.handle.net/1839/d81f2a73-b92d-41c1-8056-31ce246df4fe	https://hdl.handle.net/1839/92049562-125d-475c-8e2c-59d63edfe50e	https://hdl.handle.net/1839/8ead35cd-8b49-4c9e-80ea-59de857d8dd3	https://hdl.handle.net/1839/4773d2dd-9a0d-4f29-911b-b54a4d3541c9	https://hdl.handle.net/1839/8330f9ac-854e-447d-a702-ee09873d925d	https://hdl.handle.net/1839/55be427b-8e78-436f-8cac-8b3d8c4368b3
no	wiki+subs	135000000	Norwegian	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/bf51abca-e8b0-49c0-b522-d340cb08f640	https://hdl.handle.net/1839/7c6a8309-cd27-4e92-b69e-eb729e23fb3d	https://hdl.handle.net/1839/87aa65f0-4a94-4553-a9fe-7c8647c5a08e
pl	subs	250000000	Polish	OpenSubtitles	https://hdl.handle.net/1839/c507abc7-9604-488a-b086-8bb08428c712	https://hdl.handle.net/1839/ec446e1e-2cc0-44d3-9102-902da99dd8cc	https://hdl.handle.net/1839/6ad738bf-95d4-450b-809d-382542d5dbdb	https://hdl.handle.net/1839/515f5a41-5bdc-4fe2-b330-13d9fea2e571	https://hdl.handle.net/1839/7e19c4c6-7b4c-4c20-9f67-7b6812075351	https://hdl.handle.net/1839/6ec2b5eb-8195-4fdd-8d6c-ae8f749fb77c
pl	wiki	232000000	Polish	Wikipedia	https://hdl.handle.net/1839/e105b170-8fe6-4004-891e-a8e79fd1dfff	https://hdl.handle.net/1839/d6c08d5c-d4a6-4267-862e-0a29ed6bbd1f	https://hdl.handle.net/1839/3835ea59-db1a-4518-85e0-dd0b88ecdd95	https://hdl.handle.net/1839/488f2553-cd9b-44ba-8b68-815ba8e0e6b1	https://hdl.handle.net/1839/c76dd162-179f-45a9-a3f1-75b72f807d3e	https://hdl.handle.net/1839/753d840f-9472-4b90-9821-9b206d83a889
pl	wiki+subs	482000000	Polish	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/ee1d3625-37ec-4fb2-ae7d-69dc04465433	https://hdl.handle.net/1839/bd9670f1-19cd-4635-9fc9-5b42e01ec737	https://hdl.handle.net/1839/b52fa3c0-f856-4c54-8e41-1aa3f3cc2976
pt	subs	257000000	Portuguese	OpenSubtitles	https://hdl.handle.net/1839/8c866e8d-90f0-4cb9-b013-ddd990f49a4b	https://hdl.handle.net/1839/505f257d-0aa0-400d-9255-af170a9cf1b5	https://hdl.handle.net/1839/bce03abc-13a9-4798-a642-8b3e3bd725ad	https://hdl.handle.net/1839/bd1f94b3-f7f1-4117-990c-94ad48880ab5	https://hdl.handle.net/1839/9ec62f05-0093-4a04-818a-a5b96c15a102	https://hdl.handle.net/1839/75efab4b-0596-4128-bf5a-ccac31acb33d
pt	wiki	238000000	Portuguese	Wikipedia	https://hdl.handle.net/1839/a78ede2d-304d-47ba-967f-a5484d4cfe51	https://hdl.handle.net/1839/76877729-dbc2-4c7e-9128-c1410a3cf2f8	https://hdl.handle.net/1839/3ef1436d-b353-4e45-941a-4e2738436a72	https://hdl.handle.net/1839/e28e7be8-1a82-4b5b-bdb7-d5aec0494b5f	https://hdl.handle.net/1839/2f0d49f6-1f46-4603-91e5-ab1d8637ac10	https://hdl.handle.net/1839/5cc9a32c-c84c-42e8-93ce-3eca2c98563f
pt	wiki+subs	495000000	Portuguese	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/1e4f1919-6ef4-403d-86bd-10c31b874a41	https://hdl.handle.net/1839/6a141fae-4095-469d-a3d4-7e5dc8883997	https://hdl.handle.net/1839/9b076384-7f2a-4c0b-b388-da71aea8fb2d
ro	subs	434000000	Romanian	OpenSubtitles	https://hdl.handle.net/1839/d39643c3-5e6e-472b-98ca-8552951899cc	https://hdl.handle.net/1839/2b180814-04fb-4003-812a-5fbbe29befa0	https://hdl.handle.net/1839/8a99b75d-feb7-4386-91e3-6f0ddb3a5449	https://hdl.handle.net/1839/6c23d90d-2c7c-4f9e-9879-363b1dcb5b2d	https://hdl.handle.net/1839/2276ef0f-a563-4981-b721-0d4dd010e965	https://hdl.handle.net/1839/042a07f0-c772-4479-a04a-ea6a139f7db0
ro	wiki	65000000	Romanian	Wikipedia	https://hdl.handle.net/1839/97fcdc67-d33e-47cf-8507-0d1075658f71	https://hdl.handle.net/1839/af718433-b54c-4edd-8628-a7efafcbbc7f	https://hdl.handle.net/1839/82c7a318-5892-41a9-a760-5456a2930dc0	https://hdl.handle.net/1839/df76e8f9-d81b-4a01-b35e-9eae7be6300f	https://hdl.handle.net/1839/526e1221-78d1-4157-97b8-02e1422df0fd	https://hdl.handle.net/1839/6dc589d5-910a-4d2a-bb40-a079ff624f34
ro	wiki+subs	499000000	Romanian	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/95a96676-7615-4a53-b4d6-788622b1da48	https://hdl.handle.net/1839/6d5a207c-9871-407c-b07b-abd35245af82	https://hdl.handle.net/1839/3bbbc032-67e0-4690-9a85-d22cb02e2c37
ru	subs	152000000	Russian	OpenSubtitles	https://hdl.handle.net/1839/d4b17371-de03-4ac9-bb69-62fe0f260640	https://hdl.handle.net/1839/e34daacf-e39a-4258-833a-0f39d461427a	https://hdl.handle.net/1839/83923d5f-c9a2-4829-8084-839a1b71db0e	https://hdl.handle.net/1839/dc3d584c-4b75-4922-9cfd-bde933cbae29	https://hdl.handle.net/1839/30660859-70be-40a5-b4a5-7795e70502b6	https://hdl.handle.net/1839/819d6423-5ef0-4b1b-bb5a-481544cffb50
ru	wiki	390000000	Russian	Wikipedia	https://hdl.handle.net/1839/f2c7bc3c-0013-4c07-b40e-f168a3dea61f	https://hdl.handle.net/1839/7ac757ed-e2f3-4d70-a8d7-e90e42d36e77	https://hdl.handle.net/1839/bd327c14-c505-485a-95c8-b25679dfbee3	https://hdl.handle.net/1839/48177979-ac17-4c77-8083-09896f80f060	https://hdl.handle.net/1839/812f684a-780d-47c5-b712-9d3e7c218fd1	https://hdl.handle.net/1839/a4d949ff-287b-46f2-b420-47989f833b59
ru	wiki+subs	542000000	Russian	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/b4c02f28-5d54-4ae5-bb85-63515e7c8df5	https://hdl.handle.net/1839/8c7b9d0e-4ba3-41d6-aa72-dea8ca15ea40	https://hdl.handle.net/1839/4dc48b41-f39c-4390-af1b-bb569f6ba26c
si	subs	3493000	Sinhala	OpenSubtitles	https://hdl.handle.net/1839/1fa68c03-fec3-46b1-89c7-f4e174632746	https://hdl.handle.net/1839/c1b9e68d-76cd-49a7-b52f-5606f0140a15	https://hdl.handle.net/1839/5ba52a14-4718-4626-97fe-b6933dbf64ce	https://hdl.handle.net/1839/35e5500e-b802-4e7b-9ad9-aabb85872eb7	https://hdl.handle.net/1839/c6db28bf-eadd-4481-b4e3-ba7642530ac8	https://hdl.handle.net/1839/0c17af69-15d0-4d7f-95b5-b16fced4787e
si	wiki	5980000	Sinhala	Wikipedia	https://hdl.handle.net/1839/50cfb753-3052-4607-b763-9e949fea5738	https://hdl.handle.net/1839/49315977-e174-41cf-b288-ecf1a40da2e0	https://hdl.handle.net/1839/8eb0854e-1ed9-420f-bb02-1b20ce49c6b6	https://hdl.handle.net/1839/130368a3-5af1-47e0-b675-2afda4726894	https://hdl.handle.net/1839/dbfec0bc-1a5f-45f5-bdb2-6179879c2c7a	https://hdl.handle.net/1839/3e9cdaeb-58e3-445b-9b6e-39372fd856a7
si	wiki+subs	9473000	Sinhala	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/9f5bfca1-79be-490c-96f1-13cf87f04de7	https://hdl.handle.net/1839/0981e04c-825e-4856-8bd4-05cffcfa0195	https://hdl.handle.net/1839/5599ee86-1d4c-47d6-9c7b-da3c59b1edf1
sk	subs	47000000	Slovak	OpenSubtitles	https://hdl.handle.net/1839/42d9fb12-cbbf-4db9-a4a9-04ed66944b2b	https://hdl.handle.net/1839/4351f8a2-b05f-4aee-851e-03af7d081e5c	https://hdl.handle.net/1839/43d0a976-3f0a-41e6-8d78-7572cd60b5ad	https://hdl.handle.net/1839/9a6b3734-a470-41dd-a12d-613af547dccc	https://hdl.handle.net/1839/26a29e9d-50c7-4f88-84f3-590dd2df6e3e	https://hdl.handle.net/1839/099c0ceb-c695-4515-8398-85b3e470c34e
sk	wiki	28000000	Slovak	Wikipedia	https://hdl.handle.net/1839/6ebbecf4-57ce-434e-aa15-5c122c572196	https://hdl.handle.net/1839/72c7a6b8-9ad9-4626-b3ea-7cfe9bdd1d5b	https://hdl.handle.net/1839/67659c83-942a-4144-b1cc-0c173d068156	https://hdl.handle.net/1839/e593b44d-78cf-4abd-b93b-69cec434681c	https://hdl.handle.net/1839/206854e5-70df-4848-8a53-b21fa53223e9	https://hdl.handle.net/1839/ba6ccc04-9e86-47a0-b698-185650789a4f
sk	wiki+subs	75000000	Slovak	Wikipedia + OpenSubtitles				https://hdl.handle.net/1839/f7fa40b9-7654-427b-a81b-ebb7ece9046b	https://hdl.handle.net/1839/468de577-6c42-434f-a0da-bf1822716aae	https://hdl.handle.net/1839/0588b4b4-1ae0-4b1f-8476-e61cee1a90e3
sl	subs	106000000	Slovenian	OpenSubtitles	https://hdl.handle.net/1839/c8749bb5-b0f3-4ec6-a536-6276d518afcd	https://hdl.handle.net/1839/182586e9-d6bc-4a2d-a3a4-d3eb8f349dba	https://hdl.handle.net/1839/13771847-f7c5-45f4-9d8f-f14c95c90ddf	https://hdl.handle.net/1839/82430fad-eff4-44d0-bed2-ff9828128062	https://hdl.handle.net/1839/6d95508d-a32f-4b37-a7ff-a4bf3559b9b5	https://hdl.handle.net/1839/bc4cbfb8-014a-4d31-92ba-a8aaf1b2f9e8
