	norm	r	r-squared	source
0	valence	0.774888062963333	0.6004515101230664	de-kanske-2010.tsv
1	arousal	0.7860000199153546	0.6177960313069379	de-kanske-2010.tsv
2	concreteness	0.8494711785561998	0.721601283197659	de-kanske-2010.tsv
0	potency	0.6792742996861437	0.46141357421410095	de-schauenburg-2015.tsv
1	authority	0.725655247868436	0.5265755387590013	de-schauenburg-2015.tsv
2	community	0.6968133854433389	0.48554889413300717	de-schauenburg-2015.tsv
3	arousal	0.7534132605269793	0.567631541137894	de-schauenburg-2015.tsv
4	valence	0.7992343273306673	0.6387755099837044	de-schauenburg-2015.tsv
