	adjusted r	adjusted r-squared	norm	r-squared	source
0	0.7764813082409284	0.6029232220475438	valence	0.6179412511723219	es-stadthagen-gonzalez-2017.tsv
1	0.7202481563845813	0.5187574067753883	arousal	0.5316789754905386	es-stadthagen-gonzalez-2017.tsv
0	0.8298641635830599	0.6886745299994117	valence	0.6886745299994117	es-guasch-2016.tsv
1	0.763692377675755	0.5832260477200482	arousal	0.5832260477200482	es-guasch-2016.tsv
2	0.841274046442124	0.7077420212171049	concreteness	0.7077420212171049	es-guasch-2016.tsv
3	0.8313165314010318	0.6910871753806427	imageability	0.6910871753806427	es-guasch-2016.tsv
4	0.6674212149858069	0.4454510782131307	context availability	0.4454510782131307	es-guasch-2016.tsv
5	0.698457509277273	0.48784289226581196	familiarity	0.48784289226581196	es-guasch-2016.tsv
