	adjusted r	adjusted r-squared	norm	r-squared	source
0	0.7458288579243414	0.5562606853127274	arousal	0.5840737195783638	fi-soderholm-2013.tsv
1	0.8363492238741149	0.6994800242748344	valence	0.7344540254885761	fi-soderholm-2013.tsv
0	0.6011431749294959	0.36137311676431444	familiarity	0.36839007048789335	fi-eilola-2010.tsv
1	0.8090930603957898	0.6546315803806252	valence	0.66734287320355	fi-eilola-2010.tsv
2	0.8319781879097177	0.6921877051575375	emotional charge	0.7056282431217615	fi-eilola-2010.tsv
3	0.8827688445241728	0.7792808328625431	offensiveness	0.7944124995200683	fi-eilola-2010.tsv
4	0.8725652160000296	0.7613700561731782	concreteness	0.7761539407590652	fi-eilola-2010.tsv
