	adjusted r	adjusted r-squared	norm	r-squared	source
0	0.7360116458865269	0.5417131428805942	arousal	0.5673803491517445	fi-soderholm-2013.tsv
1	0.8150320633738031	0.6642772643273589	valence	0.6957517481732935	fi-soderholm-2013.tsv
0	0.5994304724400639	0.3593168912897181	familiarity	0.3662939183050525	fi-eilola-2010.tsv
1	0.7978412098888849	0.6365505961969595	valence	0.6489108019483568	fi-eilola-2010.tsv
2	0.8204697800095979	0.6731706599089979	emotional charge	0.6862419348586872	fi-eilola-2010.tsv
3	0.8750091291858164	0.7656409761585208	offensiveness	0.78050779122956	fi-eilola-2010.tsv
4	0.8392561400667489	0.7043508686397384	concreteness	0.7180275845356556	fi-eilola-2010.tsv
