	adjusted r	adjusted r-squared	norm	r-squared	source
0	0.7378971680602134	0.5444922306312828	valence	0.5640704731237101	es-stadthagen-gonzalez-2017.tsv
1	0.6743957108215709	0.45480957477453193	arousal	0.47116310865781585	es-stadthagen-gonzalez-2017.tsv
0	0.7982530665525467	0.6372079582605445	valence	0.6385763361236667	es-guasch-2016.tsv
1	0.7339864758303786	0.5387361467018988	arousal	0.5398930604027619	es-guasch-2016.tsv
2	0.8008911813499568	0.6414266843641294	concreteness	0.6428041217679178	es-guasch-2016.tsv
3	0.8045771660945412	0.647344416200723	imageability	0.6487345616900588	es-guasch-2016.tsv
4	0.5709072501623854	0.32593508828797646	context availability	0.326635020474708	es-guasch-2016.tsv
5	0.5616154094309896	0.3154118681103381	familiarity	0.31608920211486996	es-guasch-2016.tsv
