	norm	r	r-squared	source
0	valence	0.7735415722563801	0.5983665640088726	de-kanske-2010.tsv
1	arousal	0.7710992912151069	0.5945941169124402	de-kanske-2010.tsv
2	concreteness	0.8476706270649046	0.7185454919886086	de-kanske-2010.tsv
0	potency	0.6273346874211428	0.39354881004178294	de-schauenburg-2015.tsv
1	authority	0.6598490565570166	0.435400777439185	de-schauenburg-2015.tsv
2	community	0.6771846913092497	0.45857910614360387	de-schauenburg-2015.tsv
3	arousal	0.7434306069776299	0.5526890673911271	de-schauenburg-2015.tsv
4	valence	0.7671406043581055	0.5885047068549194	de-schauenburg-2015.tsv
