	norm	r	r-squared	source
0	age of acquisition	0.638714568121983	0.40795629953125123	nl-brysbaert-2014.tsv
1	concreteness	0.7733279514096384	0.598036120431428	nl-brysbaert-2014.tsv
0	arousal	0.8158935311164089	0.6656822541176026	nl-roest-2018.tsv
1	valence	0.8054372992977917	0.6487292431001205	nl-roest-2018.tsv
2	taboo (general)	0.8266764192404943	0.6833939021282854	nl-roest-2018.tsv
3	taboo (personal)	0.8055456431473186	0.6489037831936271	nl-roest-2018.tsv
4	insulting	0.8451825175748768	0.7143334880142069	nl-roest-2018.tsv
0	prevalence	0.40460681481286254	0.16370667459301005	nl-keuleers-2015.tsv
