	norm	r	r-squared	source
0	age of acquisition	0.6408091317858124	0.4106363433800868	nl-brysbaert-2014.tsv
1	concreteness	0.755361228826362	0.5705705860140717	nl-brysbaert-2014.tsv
0	arousal	0.7140327647480433	0.5098427891337346	nl-roest-2018.tsv
1	valence	0.7178791092734195	0.5153504155311982	nl-roest-2018.tsv
2	taboo (general)	0.7246959775378481	0.5251842598595372	nl-roest-2018.tsv
3	taboo (personal)	0.6863580850820096	0.47108742095744316	nl-roest-2018.tsv
4	insulting	0.620570056382578	0.38510719487867606	nl-roest-2018.tsv
0	prevalence	0.4637437380058599	0.21505825453964764	nl-keuleers-2015.tsv
