	norm	r	r-squared	source
0	valence	0.8174069639844873	0.6681541447703369	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-warriner-2013
1	arousal	0.6375133657295619	0.4064232914838341	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-warriner-2013
2	dominance	0.7124980708609686	0.5076535009806019	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-warriner-2013
0	concreteness	0.8856629330257964	0.7843988309358563	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-brysbaert-2014
0	imageability	0.4384180447087179	0.19221038192621537	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-thibodeau-2016
1	arousal	0.6064561168079526	0.3677890216137811	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-thibodeau-2016
2	familiarity	0.3893541855303719	0.15159668179001923	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-thibodeau-2016
3	use	0.4363700332167409	0.19041880588957955	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-thibodeau-2016
4	aversion	0.6465602659679518	0.4180401775285485	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-thibodeau-2016
5	valence	0.7131210887564489	0.508541687229183	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-thibodeau-2016
0	age of acquisition	0.8212252638142497	0.6744109339267839	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-kuperman-2012
0	arousal	0.6970804895878	0.48592120896396696	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-janschewitz-2008
1	familiarity	0.71561553491915	0.5121055938176211	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-janschewitz-2008
2	tabooness	0.783388519261192	0.613697572110243	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-janschewitz-2008
3	personal use	0.7083039118815332	0.5016944315866827	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-janschewitz-2008
4	offensiveness	0.7198798639269484	0.5182270184874818	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-janschewitz-2008
5	valence	0.8241188268174161	0.6791718407149143	/data/clusterfs/pol/pol-sub2vec/sub2vec/evaluation/norms/en-janschewitz-2008
