word	age of acquisition	familiarity	imageability
آب	1.21	6.97	7.00
آرد	3.15	5.29	6.66
آرم	5.36	5.11	5.24
آز	6.49	3.34	2.26
آس	6.69	3.45	3.29
آسم	5.74	4.13	4.26
آش	2.21	6.11	6.76
اوج	5.31	5.00	4.95
ایدز	6.54	4.34	3.11
ایل	5.44	4.34	4.82
باج	6.21	4.18	3.13
باد	2.64	5.82	6.21
بار	3.72	5.45	5.16
باغ	3.00	5.68	6.66
بافت	5.67	4.55	4.34
باک	5.26	4.68	4.61
بال	2.97	5.24	6.32
بام	3.87	5.08	6.03
باند	5.15	4.74	5.42
بانک	3.49	6.34	6.68
بانگ	6.03	3.63	3.47
برگ	2.64	5.95	6.79
بو	2.46	6.21	5.26
بور	5.10	4.58	5.79
بورس	6.72	4.39	3.63
بوف	6.08	3.55	4.74
بوق	2.54	5.89	6.42
بوکس	5.13	4.29	5.66
بوم	5.59	4.11	4.84
بیخ	5.79	4.29	3.63
بید	5.10	4.58	5.82
بیش	5.10	5.08	3.89
بیل	3.33	4.82	6.74
بیم	5.82	4.21	3.18
پا	1.67	6.45	6.92
پاپ	6.82	3.66	3.47
پارچ	3.28	5.97	6.71
پارک	2.51	5.84	6.76
پاس	5.05	4.68	4.45
پاک	2.92	5.74	4.89
پانچ	6.15	3.97	5.53
پوچ	4.05	4.95	4.74
پود	6.15	3.42	3.53
پودر	4.15	5.24	6.24
پور	6.36	3.26	3.13
پوز	5.38	3.74	4.37
پوست	3.08	6.13	6.71
پوک	4.64	4.50	4.66
پول	2.28	6.89	6.95
پیپ	5.51	4.08	6.26
پیت	5.85	2.89	4.26
پیچ	3.36	5.24	6.45
پیر	2.95	6.00	6.45
پیست	6.10	4.05	5.11
پیش	4.56	5.37	3.74
تاب	2.72	5.26	6.50
تاج	4.28	4.47	6.13
تاق	5.85	3.61	4.45
تاک	6.10	3.63	4.95
تام	6.05	3.82	3.18
تانک	4.13	4.55	6.63
تایپ	6.46	5.61	5.92
توپ	1.56	6.37	7.00
توت	3.03	5.24	6.76
تور	3.72	5.03	6.16
تیپ	5.05	5.58	4.79
تیتر	5.79	5.21	5.24
تیر	3.51	4.97	6.32
تیز	2.90	5.63	5.71
تیغ	4.05	5.37	6.32
تیم	4.08	5.55	5.55
جا	2.74	5.97	4.39
جار	6.10	3.34	2.84
جاز	6.92	3.00	2.92
جام	5.59	4.55	5.66
جان	4.31	5.45	3.32
جاه	6.10	3.84	2.87
جود	6.64	2.89	1.87
جوز	6.33	2.50	2.53
جوش	4.56	5.76	6.05
جوع	6.79	2.47	2.24
جوک	3.95	5.66	4.05
جوی	4.54	4.84	5.89
جیب	2.67	6.16	6.63
جیپ	4.90	4.39	6.11
جیر	5.97	3.50	3.89
جیغ	2.31	5.58	5.76
جیک	3.44	4.55	4.50
جین	5.82	4.84	5.16
چاپ	4.72	5.32	5.29
چارت	6.74	3.95	4.55
چاشت	6.49	2.97	3.16
چاق	2.62	5.92	6.32
چاک	5.36	4.00	5.21
چال	4.82	4.24	5.21
چاه	3.41	5.05	6.53
چای	2.21	6.74	6.92
چوب	2.62	5.95	6.71
چیپس	3.51	5.68	6.63
چیز	3.23	6.08	3.21
حاج	5.31	4.18	3.39
حاد	6.33	4.97	3.21
حال	4.08	5.68	3.82
حوض	2.82	5.18	6.55
حول	5.95	4.39	3.21
خار	3.46	4.95	6.21
خاص	5.62	3.13	2.58
خاک	2.03	6.11	6.89
خال	3.56	5.21	6.34
خام	4.13	5.26	4.37
خان	5.18	4.34	4.00
خو	6.44	3.97	2.61
خوب	2.36	6.18	3.95
خوش	4.18	5.21	4.24
خوف	6.08	4.13	3.74
خوک	4.18	4.76	6.32
خون	2.38	5.58	6.74
خیز	5.41	4.32	4.37
خیس	2.51	6.00	6.16
خیط	5.33	4.05	2.82
خیک	6.23	3.16	3.74
دار	5.18	4.32	5.37
دارت	5.46	4.50	6.16
داس	3.64	4.47	6.61
داغ	2.33	6.13	5.76
دام	4.10	4.66	5.58
دانگ	6.51	4.00	2.66
دود	3.03	5.55	6.55
دوز	5.36	4.24	4.24
دوست	2.38	6.50	5.66
دوغ	2.87	5.87	6.74
دوک	5.56	3.84	5.50
دیس	3.74	5.39	6.24
دیسک	6.28	4.47	4.53
دیش	6.18	4.92	6.13
دیگ	3.69	5.13	6.50
دیو	3.36	4.82	5.71
ذات	6.08	4.68	2.92
ذوب	5.33	4.55	5.34
ذوق	4.62	5.18	3.89
راد	6.54	2.97	2.03
راز	3.77	5.55	3.92
راست	2.87	6.00	5.03
رام	5.26	4.26	3.58
ران	3.79	5.50	6.32
رانت	6.97	2.82	1.47
راه	3.03	6.08	6.03
روح	4.51	5.03	3.84
روز	2.36	6.58	6.32
ریتم	5.92	4.74	3.82
ریز	3.62	5.39	5.42
ریسک	6.33	5.16	3.50
ریش	3.05	5.84	6.68
ریگ	4.62	4.71	5.87
زاج	6.85	2.16	2.58
زاد	5.85	3.68	3.24
زار	5.38	3.92	3.50
زاغ	4.38	4.58	5.95
زال	5.87	3.79	4.95
زوج	4.74	5.32	4.87
زود	3.10	5.74	3.71
زور	3.33	5.39	3.95
زیپ	2.79	6.00	6.66
زیر	2.87	5.92	5.45
زیست	6.03	4.47	3.71
سار	6.51	2.95	3.21
ساز	4.59	5.24	5.76
ساق	4.74	5.45	6.05
ساک	3.56	5.55	6.45
سال	2.64	6.13	4.45
سانس	6.08	3.97	3.53
سایت	6.36	6.08	5.42
سو	5.90	4.39	3.39
سوء	6.41	3.84	2.39
سوپ	2.64	5.61	6.45
سوت	3.15	5.08	6.21
سود	5.26	5.24	3.55
سور	6.54	3.61	3.00
سوز	5.08	4.71	3.61
سوسک	2.49	5.71	6.68
سوق	6.41	3.61	2.63
سوگ	6.03	3.92	3.84
سیب	1.74	6.37	7.00
سیبل	4.87	4.21	5.53
سیخ	3.72	5.05	6.42
سیرک	4.67	4.05	5.79
سیم	3.33	5.53	6.50
شاخ	2.92	4.82	6.42
شاد	3.54	5.82	5.03
شارژ	5.74	6.08	5.21
شاق	6.62	6.11	6.68
شال	3.62	5.68	6.45
شام	2.38	6.76	6.26
شانس	4.18	5.71	3.18
شاه	3.77	4.89	5.79
شوخ	5.15	5.53	4.47
شورت	2.51	6.03	6.63
شوق	4.95	5.16	4.03
شوک	6.03	4.47	3.89
شوم	6.13	4.45	2.97
شیب	4.69	4.92	5.84
شیفت	5.31	4.97	3.50
شیک	5.21	5.58	4.58
صاف	3.28	5.71	5.79
صوت	5.33	5.32	4.42
ضرب	4.74	5.18	5.16
ضیق	6.90	2.82	1.76
طوق	6.74	2.79	3.32
طول	4.46	5.16	5.03
عاج	5.03	3.97	5.63
عار	6.36	3.63	2.18
عام	6.21	4.79	3.00
غاز	3.72	4.63	6.13
غور	6.69	2.32	2.18
غول	2.67	5.05	6.00
فارس	4.74	5.21	4.29
فاز	6.26	4.47	2.82
فاش	6.03	4.24	2.74
فاق	6.49	3.47	4.00
فاکس	6.54	4.32	5.34
فال	5.26	5.08	4.76
فوج	6.62	2.92	3.03
فوق	5.69	4.74	4.45
فیبر	6.56	3.97	4.32
فیش	5.92	5.32	5.84
فیل	2.82	4.89	6.71
فیلم	2.79	6.18	6.32
قاب	3.90	5.39	6.32
قاچ	3.97	5.00	5.74
قارچ	3.90	5.39	6.55
قو	4.21	4.32	6.18
قوچ	4.92	3.92	5.61
قورت	3.18	5.50	5.39
قوس	5.56	4.18	5.08
قول	3.44	5.92	3.55
قوم	5.13	4.79	4.37
قیر	4.41	4.68	6.26
قیف	4.08	4.74	6.61
کاپ	5.62	4.26	5.82
کاج	4.00	5.16	6.58
کاخ	4.56	4.84	6.21
کادر	5.31	4.42	5.37
کار	2.72	6.42	5.21
کارت	3.26	5.68	6.34
کارد	3.31	6.08	6.74
کاش	3.95	5.66	2.89
کال	4.51	4.61	4.39
کام	6.00	4.55	4.68
کاه	4.28	4.47	5.92
کایت	6.33	3.16	4.55
کوچ	4.56	4.47	5.05
کوخ	6.54	2.42	2.61
کود	4.44	4.66	5.68
کور	3.23	5.18	6.08
کورس	6.46	3.63	3.66
کوشک	6.46	3.16	3.53
کوک	4.56	4.79	5.16
کول	3.90	4.74	5.50
کوه	2.41	6.21	6.92
کوی	6.13	3.89	4.21
کین	6.67	3.24	2.24
گارد	6.46	3.68	4.05
گاز	3.18	5.84	5.68
گام	4.92	4.79	5.24
گاه	5.31	4.74	2.58
گاو	2.05	5.45	6.89
گود	4.36	4.55	5.76
گور	4.79	4.68	5.87
گوش	1.87	6.34	6.92
گوشت	2.00	6.50	6.92
گول	3.64	5.18	3.24
گوی	5.41	4.24	5.58
گیج	4.26	5.21	4.16
گیر	4.74	5.32	3.39
گیس	4.95	4.29	5.92
گیل	6.62	2.45	1.97
لات	5.49	4.66	4.74
لارو	6.77	2.37	2.97
لاف	6.26	4.55	3.21
لاک	3.38	5.13	6.08
لال	4.03	4.97	5.34
لام	6.08	3.61	3.89
لامپ	2.26	6.53	6.87
لای	4.95	4.24	4.50
لوچ	5.46	4.11	5.00
لوح	5.36	4.11	5.08
لوس	3.62	5.26	4.42
لوکس	6.13	4.50	4.50
لیتر	5.36	4.84	3.87
لیز	3.56	5.18	5.24
لیس	3.33	5.08	5.92
لیست	5.03	5.50	5.95
لیف	2.82	5.68	6.61
لیگ	6.13	4.50	3.79
ماد	6.10	3.13	2.32
مار	2.44	5.13	6.84
مارش	6.85	2.26	2.55
مارک	5.74	5.00	4.95
ماز	6.54	2.76	3.53
ماست	2.23	6.42	6.82
ماسک	3.90	4.71	6.03
ماش	5.00	4.13	5.63
مال	4.13	5.87	4.42
مالت	6.72	2.79	2.53
ماه	2.64	5.89	6.58
موج	3.79	4.87	6.08
مور	5.23	4.42	5.95
موز	2.44	5.89	6.79
موش	2.44	5.42	6.84
موم	5.69	4.16	5.34
میخ	2.67	4.92	6.45
میر	6.44	3.29	3.03
میز	2.51	6.16	6.76
میش	4.74	4.39	5.95
مین	5.31	4.18	5.92
ناب	6.41	4.16	2.97
نار	6.05	3.45	5.21
ناز	3.33	5.42	4.50
ناف	2.90	5.55	6.53
نام	3.21	5.92	4.74
نان	1.64	6.71	6.95
ناو	6.15	3.58	5.16
نای	5.85	4.61	5.84
نو	2.82	5.79	4.68
نوح	5.13	4.08	3.95
نور	3.03	6.08	6.34
نوش	5.49	4.55	3.55
نوع	4.85	5.37	3.11
نوک	2.92	5.16	6.08
نیش	3.41	4.97	5.58
نیک	4.74	4.63	3.26
نیم	3.97	5.63	5.03
هار	4.92	4.24	4.37
هاگ	6.44	3.03	3.26
هال	4.38	5.45	4.24
هود	6.03	5.00	5.76
هوش	4.26	5.34	3.61
هول	4.74	4.95	3.45
هیچ	3.62	5.58	3.87
واج	6.54	4.45	3.16
واکس	4.03	5.50	6.45
وال	5.74	3.71	5.68
وام	5.72	5.29	4.16
وان	4.21	4.82	6.34
وول	4.90	4.53	4.37
یاد	3.95	5.50	3.26
یار	4.85	5.42	4.47
یاس	4.95	4.18	5.29
یال	5.00	4.61	6.16
یوغ	6.82	2.45	2.47
ابر	2.64	5.84	6.68
اجر	5.59	4.63	3.63
اخذ	6.56	4.11	3.34
اخم	3.05	5.74	6.16
اذن	6.15	3.97	2.89
ارث	5.59	4.82	3.82
ارج	6.36	4.08	2.71
ارز	6.82	4.82	4.89
اسب	2.05	5.68	6.76
اسم	2.21	6.08	4.37
اشک	2.92	5.50	6.66
اصل	4.90	5.03	2.79
افت	5.79	4.71	3.79
امر	5.36	4.87	3.08
