word	age of acquisition	familiarity	imageability
امن	4.87	5.32	4.03
انس	6.05	4.00	2.55
انگ	6.79	3.55	2.21
اهل	5.00	4.92	3.13
ببر	3.23	5.26	6.61
بحث	5.46	5.45	4.05
بحر	6.05	3.74	5.42
بخت	6.00	4.74	2.97
بخش	4.46	4.89	4.11
بخل	6.36	3.66	2.66
بذر	5.13	4.55	6.16
بذل	6.54	3.74	2.95
برج	4.92	5.34	6.32
برف	2.26	5.42	6.84
برق	2.67	6.53	5.45
بزم	6.59	3.63	4.47
بسط	6.54	3.84	2.84
بطن	6.56	3.92	4.00
بعض	6.31	3.47	2.39
بغض	4.69	4.89	4.87
بکر	6.36	3.87	3.18
بمب	4.26	4.87	6.18
بند	3.69	5.21	5.84
بنز	5.08	4.58	6.03
بنگ	6.18	2.89	2.61
پتک	5.69	4.13	5.24
پخش	4.33	5.50	4.18
پرز	5.05	4.74	5.34
پشت	2.82	5.84	5.42
پشم	3.67	4.84	6.34
پلک	3.46	5.50	6.39
پمپ	4.92	4.74	5.39
پند	5.08	4.61	3.05
پهن	3.46	5.55	5.39
تخت	2.36	6.47	6.92
تخس	6.00	4.11	3.47
تخم	2.87	5.50	6.21
ترس	2.10	6.21	5.18
ترش	2.46	5.76	5.53
ترم	6.21	5.58	4.47
تشت	3.10	5.63	6.68
تفت	5.90	4.26	4.63
تلخ	2.49	5.50	5.03
تند	3.10	5.71	5.18
ثبت	5.67	5.00	3.74
ثقل	6.69	3.61	2.68
ثلث	5.13	4.34	4.32
جبر	6.33	4.05	2.84
جذب	5.41	5.08	4.13
جذر	6.18	3.89	3.87
جرح	6.82	2.61	2.79
جرز	6.08	3.53	3.18
جزء	5.23	5.05	3.82
جزر	5.97	3.74	4.18
جزم	6.56	3.39	2.00
جسم	4.79	5.24	5.13
جشن	3.13	5.37	5.79
جعل	6.28	4.11	3.58
جغد	3.72	4.71	6.55
جفت	4.77	5.05	5.24
جلب	6.18	4.45	2.84
جمع	3.46	6.11	5.66
جنس	4.51	5.24	4.13
جهد	6.36	3.32	2.39
جهل	6.03	4.13	2.82
چتر	2.74	5.37	6.76
چرب	3.51	5.79	5.89
چرخ	2.44	6.00	6.76
چرک	3.64	5.47	5.24
چرم	5.10	4.79	5.71
چفت	5.36	4.42	4.16
حبس	5.64	4.53	4.84
حتم	6.26	4.42	2.66
حجب	6.74	3.84	3.05
حجم	5.28	4.84	4.47
حدس	4.85	5.13	2.95
حذف	5.03	5.45	4.34
حرص	5.54	4.84	3.55
حرف	2.59	6.16	4.87
حزب	6.54	4.11	3.05
حزن	6.21	4.21	3.89
حصر	6.56	3.45	3.32
حفر	5.77	3.84	4.55
حفظ	3.46	5.82	4.00
حلق	4.69	5.39	5.71
حمل	4.90	4.74	4.55
حیف	4.38	5.37	2.87
خبط	6.67	3.11	2.26
ختم	5.26	4.74	4.18
خرج	4.18	5.74	4.05
خرس	2.82	4.82	6.68
خرق	6.92	2.05	1.50
خشت	5.49	4.08	5.26
خشک	2.56	5.84	5.45
خشم	4.49	5.39	3.18
خصم	6.51	5.24	4.61
خلع	6.62	3.24	2.53
خمر	6.77	2.89	2.89
خمس	5.59	4.42	4.08
خنگ	3.51	5.26	3.92
خیل	6.64	3.37	3.32
دبش	6.33	4.42	3.03
دخت	5.97	3.63	4.97
دخل	6.00	4.05	3.66
درب	3.15	5.95	6.79
درج	6.38	3.68	2.89
درز	5.23	4.47	4.95
درس	3.26	6.24	5.50
درک	5.62	5.58	3.03
دزد	2.85	5.66	5.63
دست	1.67	6.39	6.87
دشت	4.62	4.68	5.87
دفع	5.46	4.68	3.50
دفن	4.82	4.82	5.50
دلق	6.59	2.61	2.45
دلو	6.79	2.21	2.37
دنج	6.18	4.58	4.21
دهر	6.62	2.89	2.05
دیم	6.23	3.32	2.82
ذبح	6.08	3.63	4.76
ذکر	5.72	4.84	4.00
ذهن	4.87	5.55	3.42
ذیل	6.54	3.58	3.24
رأس	5.51	4.08	4.34
رأی	5.49	5.11	5.24
ربط	4.92	5.32	3.45
ربع	4.59	5.45	5.08
رحل	6.05	3.11	4.00
رحم	5.36	4.82	3.39
رخت	4.54	4.92	5.84
رذل	6.46	4.05	2.95
رزق	5.87	4.32	3.58
رزم	5.95	3.97	4.37
رسم	4.87	4.79	4.00
رشد	4.38	5.39	4.29
رشک	6.67	3.00	1.92
رعب	6.54	3.92	3.53
رعد	4.15	4.55	5.66
رفع	5.95	4.68	2.74
رقص	2.36	5.82	6.50
رکن	6.13	4.08	2.68
رمز	4.49	5.74	5.08
رمل	6.79	2.42	2.05
رنج	5.03	5.00	3.79
رنگ	2.36	6.13	5.89
رهن	6.31	4.42	3.21
ریل	4.33	4.87	6.50
زجر	5.85	4.47	3.68
زخم	2.49	5.45	6.39
زرد	2.67	6.03	6.71
زرع	6.18	3.24	3.82
زشت	2.77	5.66	4.84
زلف	6.00	4.13	5.71
زنگ	2.87	6.16	6.32
زهد	6.54	3.47	2.21
زهر	5.08	4.11	4.45
ژرف	6.36	3.58	3.74
ژست	5.62	5.00	4.00
سبز	2.23	6.32	6.82
سخت	3.23	5.92	3.97
سرب	5.79	4.16	4.47
سرخ	3.62	5.32	6.24
سرد	2.46	5.97	5.53
سست	5.51	4.53	4.24
سطح	4.90	5.92	6.76
سطر	4.92	3.34	4.16
سطل	2.51	2.63	2.13
سعی	4.51	5.39	3.61
سفت	3.21	5.47	5.18
سقط	6.51	3.68	3.76
سقف	2.82	3.55	2.32
سلب	6.46	3.82	2.39
سلک	6.95	1.63	1.37
سمت	3.79	5.53	4.13
سمع	6.44	3.92	3.55
سنخ	6.82	3.13	1.84
سنگ	2.41	5.92	6.76
سهل	5.85	4.16	2.92
سهم	4.26	5.16	4.03
سهو	6.46	3.97	2.50
شأن	6.31	4.47	2.37
شتم	6.82	5.00	5.47
شخص	4.33	5.13	4.11
شخم	4.51	4.24	5.53
شرب	5.85	4.18	4.32
شرح	5.92	4.66	3.11
شرط	4.26	5.63	3.66
شرع	5.97	5.00	3.00
شرق	4.79	5.05	4.11
شرک	5.82	4.00	2.58
شرم	5.33	4.95	3.66
شعر	2.44	5.97	5.32
شغل	4.10	5.79	4.71
شکل	3.08	5.87	5.21
شمش	5.87	4.29	5.84
شمع	2.97	5.26	6.74
شهد	5.33	4.37	4.55
شهر	3.15	5.92	5.55
شی‌ء	4.74	5.26	4.89
شیخ	5.21	4.58	5.18
صبح	2.23	6.66	6.26
صبر	3.92	5.82	3.53
صحن	5.87	4.00	4.55
صدر	6.33	4.05	3.39
صدق	6.23	4.29	2.63
صفر	3.51	6.11	6.39
صلح	5.26	4.84	3.97
صمغ	6.15	3.47	4.68
صنع	6.79	2.34	1.76
صنف	6.64	3.79	2.95
صید	5.15	4.34	5.08
ضبط	3.74	5.34	6.05
ضعف	4.74	5.03	4.29
ضلع	4.41	4.74	5.29
ضمن	6.41	4.03	1.71
طبخ	5.95	4.24	4.74
طبع	6.51	3.68	2.39
طبل	3.62	4.50	6.26
طرح	5.51	5.45	4.16
طرد	6.31	4.39	2.97
طرز	5.82	4.82	2.55
طعم	4.26	5.66	3.82
طعن	6.54	3.32	2.18
طفل	4.87	4.84	5.71
طلق	5.97	4.18	5.24
طنز	5.59	5.11	3.97
طیف	6.54	3.92	3.55
ظرف	2.49	6.29	6.66
ظلم	4.79	5.00	4.37
ظهر	2.82	6.45	5.97
عبد	6.05	3.97	3.21
عجز	6.23	3.97	3.21
عدل	5.51	4.95	2.95
عذر	4.54	5.29	2.84
عرش	6.36	3.79	3.63
عرض	4.97	4.84	4.95
عرف	6.62	4.53	2.71
عزل	6.56	3.79	2.66
عزم	6.28	4.45	2.63
عشق	5.51	6.08	4.53
عصر	3.23	6.13	4.95
عضو	4.26	5.21	4.55
عطر	3.51	6.26	6.39
عطف	6.62	3.79	2.66
عفو	6.03	4.47	3.13
عقد	4.95	5.05	4.87
عقل	4.05	5.84	3.63
عکس	2.51	6.00	6.58
علم	4.46	5.61	3.71
عمد	5.15	4.53	3.26
عمق	5.18	4.58	4.50
عهد	5.85	4.45	3.24
عیب	3.87	5.50	3.47
عید	2.77	5.53	5.66
عیش	6.28	3.74	3.66
غدر	6.62	2.53	1.74
غرب	5.08	5.08	4.24
غرق	4.26	4.97	5.58
غسب	6.64	2.37	1.76
غسل	5.44	4.79	5.16
غلت	4.87	4.16	4.45
غیب	4.82	4.79	3.68
غیر	5.28	4.79	2.71
فتح	6.10	3.92	3.32
فتق	6.62	3.05	2.58
فجر	4.82	3.95	3.26
فحش	3.36	5.37	4.00
فخر	6.23	4.37	2.47
فرد	4.56	5.29	4.24
فرش	2.49	6.26	6.82
فرض	5.67	4.95	2.74
فرط	6.64	3.34	2.11
فرع	5.85	4.55	2.84
فرق	3.51	5.63	3.61
فرم	5.38	5.39	5.03
فسخ	6.74	3.61	2.42
فسق	6.67	3.16	2.18
فصل	3.46	5.61	4.89
فضل	6.28	3.66	2.61
فعل	5.03	5.16	3.84
فقر	4.85	5.24	4.55
فقه	6.46	3.79	2.24
فکر	3.49	6.39	3.92
فلس	6.36	3.16	4.55
فهم	5.05	5.34	2.92
فیض	6.49	3.47	2.11
قبح	6.72	3.24	2.08
قبر	4.05	4.87	6.34
قبض	4.64	5.45	6.18
قتل	4.95	4.68	5.11
قدر	5.05	4.63	2.63
قرب	6.23	3.82	3.18
قرص	2.95	5.79	6.63
قرض	4.49	4.97	3.79
قرن	5.62	4.66	3.21
قسط	5.72	4.97	3.95
قشر	6.56	4.37	3.61
قصد	5.33	5.18	3.53
قصر	4.00	4.61	6.13
قطع	3.62	5.26	4.55
قعر	6.31	3.87	4.16
قفل	2.72	5.82	6.47
قلب	3.38	5.66	6.61
قند	2.13	6.37	6.82
قهر	2.51	5.87	5.24
قید	6.28	4.08	2.71
کبر	6.33	3.68	2.63
کبک	4.85	4.21	5.82
کتف	4.74	5.45	6.29
کذب	6.46	3.84	2.61
کرک	4.92	4.11	5.18
کسب	5.79	4.61	3.18
کسر	5.28	4.24	3.95
کشف	4.92	4.47	4.00
کشک	4.28	4.71	5.58
کفر	5.31	4.47	2.66
کفش	1.77	6.74	6.95
کلت	5.87	3.34	5.55
کمپ	6.59	4.03	4.50
کنج	5.03	4.47	4.92
کیک	2.28	5.92	6.71
گبر	6.77	2.32	1.82
گرز	5.77	3.58	5.29
گرگ	2.87	4.95	6.58
گلف	6.38	3.50	5.58
گنج	4.03	4.63	5.87
گند	4.51	4.87	4.32
لحن	5.97	4.66	3.11
لرد	6.67	2.92	2.92
لطف	4.97	5.53	3.24
لعل	6.54	2.79	3.21
لعن	6.28	3.95	2.58
لغو	6.08	4.82	3.37
لفت	6.08	4.58	2.97
لفظ	6.26	4.18	2.47
لمس	4.28	5.50	5.05
لنت	6.18	3.66	4.32
لنج	6.00	3.58	5.08
لنز	6.36	4.89	5.74
لهو	6.67	3.76	2.66
مبل	3.38	6.53	6.63
متر	3.62	5.66	6.39
متن	4.67	5.63	5.71
مجد	6.72	2.92	2.08
محض	6.33	4.16	1.87
محو	5.90	4.61	4.03
مدح	6.51	4.08	2.63
مرز	4.87	5.08	5.47
مرغ	2.08	5.87	6.84
مرگ	3.77	5.42	5.11
مزد	4.90	5.13	4.45
مست	6.08	4.47	4.68
مسح	5.03	5.18	4.97
مسخ	6.87	3.39	2.00
مشت	2.62	5.97	6.71
مشق	3.31	5.18	5.55
مغز	4.05	5.76	6.29
مفت	4.62	5.32	3.84
مکث	5.51	5.05	4.00
مکر	5.87	4.16	3.11
منچ	3.77	4.74	6.21
منع	5.56	4.92	3.34
منگ	6.10	4.16	3.42
مهد	3.82	4.84	5.16
نبش	5.62	4.68	4.50
نبض	5.33	5.24	5.18
نثر	6.28	3.29	2.58
نحس	6.00	4.16	2.71
نحو	6.46	3.95	2.03
نخل	4.56	4.63	6.42
نذر	4.59	5.08	4.39
نرخ	6.18	4.74	3.21
نرد	6.87	2.24	1.97
نسج	6.79	2.84	2.61
نسخ	6.62	2.87	2.18
نسل	6.26	4.61	3.39
نشت	5.74	4.13	4.61
نشر	6.08	4.55	3.68
نصب	5.23	5.05	4.16
نصر	6.28	3.79	3.11
نصف	3.15	5.79	5.42
نطق	6.51	4.13	3.74
نظم	4.00	5.29	4.11
نعش	6.10	4.00	4.76
نعل	5.28	4.21	5.63
نغز	6.74	3.00	1.87
نفت	4.03	5.18	6.13
نفخ	6.49	4.21	3.61
نفع	5.46	4.76	2.89
نقب	6.77	1.89	1.53
نقد	6.00	5.13	3.79
نقش	4.54	5.03	4.11
نقص	5.41	4.89	3.74
نقض	6.56	4.13	2.53
ننگ	5.95	4.03	2.84
نهر	5.41	4.11	5.95
هتک	6.72	3.55	2.29
هجر	6.59	3.03	2.37
هجو	6.82	2.76	1.76
هرز	6.00	4.21	3.34
هزل	6.79	2.18	1.68
هضم	5.56	4.84	3.50
وجد	6.59	3.74	3.39
وجه	6.21	4.45	4.03
وحش	5.15	4.21	3.76
وحی	5.41	4.05	2.87
ورد	5.92	3.92	3.32
ورز	6.00	3.03	3.37
وزن	3.67	5.61	4.50
وسع	6.36	4.18	2.63
وصف	5.87	4.34	2.76
وصل	4.36	5.16	4.68
وضع	5.08	5.24	3.11
وعظ	6.46	3.47	2.84
وفق	6.41	4.18	2.32
وقت	3.59	6.11	4.03
وقع	6.56	2.26	1.87
وقف	6.33	4.34	2.89
وهم	6.41	4.00	2.42
یأس	5.87	4.71	3.55
یبس	6.67	3.79	3.21
بت	5.03	4.29	6.08
بد	1.74	6.39	4.55
بز	2.79	5.18	6.66
بژ	6.64	3.45	4.95
بس	4.38	5.47	3.26
پس	3.85	5.82	2.68
پف	4.28	4.82	5.42
پل	3.13	5.53	6.68
تب	3.41	5.16	5.16
تر	3.44	5.47	5.74
تف	2.95	5.00	6.08
ته	3.95	5.08	4.74
جت	5.00	4.34	5.53
جن	5.03	3.87	3.32
چپ	3.08	5.97	4.95
حج	4.72	5.05	5.21
حظ	6.21	4.03	2.89
حق	4.92	5.45	2.97
حک	6.38	4.21	3.87
حل	4.21	4.95	5.26
خس	6.64	3.08	3.00
خش	5.46	4.55	4.97
خط	2.95	6.08	6.39
دد	6.31	2.37	2.50
دژ	6.08	3.21	4.45
دف	6.15	4.32	5.89
دل	2.67	6.03	5.45
رپ	6.72	4.08	3.95
رج	6.26	2.92	3.24
رخ	5.69	4.24	5.39
رد	4.77	4.82	3.71
رز	4.00	5.05	6.32
رژ	4.44	5.45	6.29
رس	5.69	3.63	4.79
رک	5.82	5.13	3.32
رگ	4.26	5.45	6.32
ره	5.92	3.97	4.53
زل	5.92	4.63	4.42
زن	2.64	6.45	6.84
زه	6.54	2.84	3.42
ژل	5.36	5.39	5.87
ژن	6.72	3.97	4.11
سس	3.64	5.79	6.37
سگ	1.79	5.79	6.84
سل	5.67	3.95	3.53
شب	2.10	6.63	6.53
شط	6.46	5.11	4.58
شم	6.46	3.26	2.32
شن	2.95	5.34	6.55
شه	6.10	3.29	4.29
صف	3.46	5.58	6.03
ضد	5.15	5.03	3.34
طب	5.92	4.42	3.87
ظن	6.49	3.97	2.39
غش	4.69	4.63	5.03
غل	6.41	3.37	4.11
غم	4.31	5.24	4.37
کپ	5.74	4.18	3.61
کت	3.05	5.84	6.76
کج	3.23	5.50	6.00
کف	3.13	5.50	6.13
کم	2.46	5.95	4.68
گپ	5.87	4.76	4.39
گچ	3.46	5.08	6.50
گز	3.90	4.89	6.16
گس	6.36	3.34	3.29
گم	3.13	5.50	3.95
لب	2.13	6.24	6.95
لر	5.51	5.03	4.16
لش	6.08	3.79	3.63
لق	3.69	4.55	4.84
لک	4.44	4.95	5.32
له	3.38	5.16	5.29
مچ	3.21	5.68	6.63
مخ	4.74	5.18	5.82
مس	5.36	4.68	5.58
مغ	6.87	2.21	2.21
نخ	2.54	5.84	6.79
نر	4.62	5.13	5.18
نق	4.18	4.79	4.11
نم	4.10	5.08	5.21
وش	6.90	1.82	1.63
یخ	2.38	6.16	6.74
یل	6.28	3.63	3.92
حد	5.97	4.26	2.76
حس	4.31	5.79	3.71
