word	prevalence
a	0.98
aardvark	0.96
aardwolf	0.21
abaca	0.24
aback	0.86
abacus	0.93
abaft	0.19
abalone	0.69
abandon	1.00
abandoned	1.00
abandonee	0.66
abandoner	0.86
abandonment	0.99
abase	0.75
abased	0.79
abasement	0.81
abash	0.89
abashed	0.94
abashedly	0.86
abashment	0.79
abatable	0.72
abate	0.93
abatement	0.89
abattoir	0.59
abbacy	0.19
abbatial	0.19
abbe	0.19
abbess	0.52
abbey	0.95
abbot	0.81
abbotship	0.42
abbreviate	0.99
abbreviated	0.99
abbreviation	1.00
abbreviator	0.91
abdicable	0.44
abdicant	0.64
abdicate	0.91
abdication	0.90
abdicative	0.65
abdicator	0.90
abdomen	1.00
abdominal	0.99
abdominally	0.97
abduct	0.99
abductee	0.98
abduction	1.00
abductor	0.98
abeam	0.44
abecedarian	0.18
abecedary	0.21
abed	0.67
abele	0.12
aberrance	0.67
aberrancy	0.55
aberrant	0.79
aberration	0.92
aberrational	0.71
abet	0.74
abetment	0.45
abettor	0.51
abeyance	0.56
abeyant	0.40
abhor	0.89
abhorrence	0.94
abhorrent	0.95
abhorrently	0.93
abhorrer	0.69
abhorring	0.89
abidance	0.52
abide	0.99
abider	0.81
abiding	0.99
abidingly	0.87
abidingness	0.58
ability	1.00
abiogenesis	0.41
abiogenetically	0.42
abiotic	0.70
abject	0.89
abjection	0.74
abjectly	0.85
abjectness	0.79
abjudicate	0.73
abjuration	0.53
abjuratory	0.40
abjure	0.56
abjurer	0.49
ablate	0.55
ablation	0.63
ablative	0.58
ablator	0.41
ablaut	0.14
ablaze	0.98
able	1.00
abler	0.65
ablest	0.41
abloom	0.71
ablution	0.65
ablutionary	0.50
ably	0.84
abnegate	0.43
abnegation	0.47
abnegator	0.35
abnormal	1.00
abnormality	1.00
abnormally	0.99
abnormity	0.71
aboard	0.99
abode	0.98
abolish	0.99
abolishable	0.85
abolisher	0.94
abolishment	0.97
abolition	0.98
abolitionary	0.85
abolitionism	0.90
abolitionist	0.96
abominable	0.99
abominableness	0.77
abominably	0.96
abominate	0.89
abomination	0.99
abominator	0.73
aboriginal	0.95
aboriginality	0.72
aboriginals	0.93
aborigine	0.87
abort	1.00
aborted	1.00
abortion	1.00
abortionist	0.96
abortive	0.92
abortively	0.79
abortiveness	0.69
abound	0.98
abounding	0.95
about	1.00
above	1.00
aboveboard	0.74
