word	age of acquisition	imagery	concreteness
kafiye	4.35	4.27	3.93
kâgit	1.7	6.56	6.83
kahpe	4.6	3.5	3.46
kahvalti	1.71	6.25	6.37
kambur	2.87	5.41	5.79
kamera	3.51	6.58	6.76
kamyon	1.86	6.49	6.96
kan	1.71	6.09	6.7
kanca	3.04	5.39	6.72
kapak	1.84	5.63	6.69
kapi	1.56	6.74	6.86
kapüson	3.45	4.42	6.28
karar	2.99	3.23	2.47
kararli	3.17	2.74	2.46
kargo	4.52	4.94	6.11
karinca	1.6	6.44	6.88
karisik	2.34	3.5	2.9
karton	2.13	5.46	6.77
kas	2.72	5.49	6.51
kasik	1.5	6.71	6.86
kasnak	4.2	4.02	6.36
katil	2.81	4.42	5.82
kavga	1.82	4.13	3.77
kaygan	2.78	4.74	4.96
kayip	2.18	2.85	3.04
kayisi	1.84	6.63	6.82
kazanç	3.2	3.54	4.1
kelebek	1.62	6.64	6.8
kemik	2.19	6.21	6.82
kepenk	3.62	5.91	6.76
kimya	4.53	3.58	4.49
kimyon	3.98	5.11	6.69
kirik	1.77	5.03	5.72
kirmizi	1.66	6.42	4.32
kis	1.7	5.83	5.15
kitap	1.65	6.77	6.65
kiz	1.53	6.32	6.11
koç	2.01	6.13	6.71
komik	2.14	3.91	2.59
komsu	1.71	5.41	5.76
konfor	4.05	3.82	2.94
köpük	2.19	5.78	6.49
koridor	2.42	5.76	6.4
korku	1.8	3.7	1.4
korkunç	2.38	3.48	2.3
koyu	2.25	4.01	3.91
kral	2.27	5.51	5.33
krem	2.29	5.79	6.61
kulak	1.53	6.6	6.75
külhan	5.04	2.45	3.49
külot	1.65	6.36	6.89
kültür	3.82	3.56	2.41
kum	1.81	6.31	6.62
kural	2.73	3.67	2.9
kus	1.45	6.25	6.81
kusku	3.82	2.68	1.58
kutu	1.87	6.27	6.84
kuyumcu	2.8	6.02	6.36
kuzgun	4.33	3.37	5.65
kuzu	1.63	6.54	6.79
lâmba	1.84	6.36	6.84
lehçe	5.17	3.27	3.91
lezzet	2	4.03	4.18
liman	3.18	6.03	6.52
limon	1.72	6.57	6.93
lirik	5.46	2.54	2.22
lise	3.05	6.02	5.8
lokanta	2.27	6.32	6.71
lüks	3.47	3.88	2.89
maas	3.26	4.89	5.22
magara	2.42	6.09	6.71
makyaj	3.37	5.39	5.93
manken	3.65	6.3	6.28
marka	4.01	4.27	4.66
masa	1.48	6.42	6.9
mayin	4.4	5.4	6.7
maytap	3.42	5.12	6.64
medya	4.8	4.7	4.68
mektup	2.29	6.22	6.89
memur	2.74	5.94	6.27
merakli	2.53	3.75	2.36
metal	3.1	5.32	6.51
meyve	1.7	6.31	6.63
mezar	2.29	6.11	6.21
minder	1.84	6.31	6.86
mineral	4.58	3.23	5.47
miras	3.9	3.64	5.25
misafir	1.73	5.36	6.07
misra	3.29	4.75	5.31
mizrak	3.52	5.28	6.83
mizrap	4.63	3.91	6.15
mobilya	2.37	6.14	6.76
moda	3.44	3.94	3.43
monitör	4.79	6.14	6.76
moral	3.33	3.08	1.84
muaf	5.16	3.2	2.27
müftülük	4.54	3.64	3.96
mühendis	3.24	4.63	5.49
müsfik	5.26	1.82	2.35
muson	5.58	3.08	4.7
mutfak	1.7	6.24	6.75
mutluluk	2.48	3.72	1.85
muz	1.95	6.73	6.92
müzik	1.91	5.49	5.34
nakavt	4.61	4.28	3.85
namaz	2.11	5.51	3.94
nefes	1.89	4.52	5.68
nehir	2.54	6.25	6.67
nesil	3.75	2.71	3.32
nezle	2.19	5.18	5.2
nisanci	3.67	4.79	6.02
noksan	3.45	2.99	3
öglen	1.82	4.23	4.23
ögrenci	2.04	6.39	6.18
oksijen	3.26	3.81	5.69
okul	1.78	6.44	6.6
olayli	3.53	3.24	2.61
ölü	2.16	4.97	6.17
ölüm	2.19	3.56	2.34
omuz	1.85	6.32	6.86
öncülük	4.05	3.2	2.23
önem	2.88	2.94	1.95
onursuz	4.29	2.71	1.98
orman	1.7	6.43	6.57
örnek	2.61	2.94	3.96
örtü	1.92	6.04	6.75
oruç	2.26	4.87	3.03
ot	1.8	6.29	6.79
otel	2.67	6.06	6.62
otobüs	1.99	6.53	6.86
ötücü	3.38	2.62	3.96
övgü	3.25	2.81	1.77
oynas	4.79	2.92	3.59
özet	2.89	3.92	4.73
özgür	3.39	3.61	2.08
özlem	2.59	3.17	1.64
palto	2.19	6.34	6.77
pamuk	1.97	6.24	6.77
papatya	1.74	6.33	6.89
para	1.7	6.38	6.41
parke	4.11	5.73	6.91
parmak	1.58	6.49	6.89
pasli	2.65	4.79	5.91
pasta	1.99	6.48	6.77
paten	3.59	6.06	6.77
patik	1.68	5.75	6.66
patron	3.41	5.36	5.81
pay	3.2	3.43	4.03
pencere	1.68	6.54	6.93
pense	3.22	5.79	6.94
pesinatsiz	5.37	2.54	3.83
petrol	3.49	5.57	6.56
peynir	1.5	6.43	6.88
pide	2.05	6.28	6.88
pihti	4.6	4.4	6.33
pilâv	1.76	6.58	6.85
pilot	2.66	6.08	6.35
pire	2.64	4.87	6.69
pirinç	1.84	6.5	6.69
polis	1.92	6.28	6.55
pomat	4.97	2.74	5.21
prensip	4.91	2.85	1.98
protein	4.01	3.29	5.17
punto	5.8	3.32	4.92
pusu	3.96	3.39	4.39
radyo	2.11	6.47	6.75
radyum	6.24	2.61	5.32
rahatsiz	2.33	2.9	2.6
rakam	2.02	5.89	4.14
rakip	2.91	4.04	4.7
reklâm	2.97	5.06	5.39
rezalet	3.86	2.6	2.69
röfle	5.47	3.81	5.94
rüzgâr	1.83	5.14	6.09
sabir	2.93	2.77	1.5
sadik	3.57	2.88	2.07
sadist	5.71	3.55	3.81
saglam	2.26	3.58	3.66
sahane	2.88	3.23	2.02
sahil	2.7	6.29	6.38
sair	2.9	4.99	5.59
salata	1.92	6.51	6.79
salon	2.34	5.59	6.33
salter	4.29	5.09	6.73
samata	3.17	3.81	3.46
sanatçi	2.63	4.5	5.14
sandik	2.14	6.47	6.86
saray	2.77	6.05	6.56
sarp	4.76	3.82	4.44
sarsici	4.16	2.68	2.68
sazlik	3.93	4.93	6.52
sebek	3.42	4.14	5.56
sebze	1.88	6.19	6.71
seçmen	4.28	4.82	6.2
seffaf	3.59	4.35	4.37
seker	1.41	6.18	6.63
selâm	2.05	4.21	4.13
semer	3.43	4.38	6.42
serbest	2.76	2.37	2.09
sergi	3.45	5.94	6.11
serin	2.02	3.92	5.03
ses	1.65	4.33	5.45
sestes	4.44	2.89	3.33
sevap	2.25	2.61	1.64
sevgi	1.88	3.5	1.73
sevgili	3.06	5.3	4.69
sevinç	2.07	3.58	1.74
seyirci	2.34	6.16	6.47
sezon	3.84	2.76	3.59
sicil	5.17	2.85	3.79
siddetli	2.85	3.48	2.43
sigara	2.21	6.52	6.78
siglik	4.73	2.88	3.71
siki	2.54	2.91	3.89
sinema	2.5	5.92	5.59
slogan	4.54	3.97	4.57
sofra	1.63	6.27	6.37
sogan	1.71	6.36	6.9
soguk	1.68	4.98	5.43
sohbet	2.51	4.57	3.83
sok	3.79	3.23	2.51
solo	4.6	3.38	4.33
somut	4.14	3.35	3.18
sondaj	5.32	3.69	5.77
sonsuz	3.47	2.44	1.51
sörf	4.49	5.53	6.3
sos	3.58	5.37	6.64
soytari	3.03	5.56	5.24
soyut	4.4	2.48	1.51
standart	4.47	2.86	2.47
su	1.26	6.49	6.8
suç	2.4	3.45	2.48
suçlu	2.41	3.74	4.69
sulak	3.25	3.41	5.04
sülün	4.8	2.45	5.53
süngü	3.88	4.82	6.55
süphe	3.34	3.16	1.61
süresiz	3.58	1.72	2.15
sürpriz	2.38	3.43	2.71
süt	1.36	6.42	6.79
tabanca	2.07	6.44	6.93
tabu	5.11	3.2	2.25
tabure	2.26	5.88	6.7
tahta	1.95	6.24	6.94
takat	4.39	2.11	2.52
takoz	3.85	4.8	6.46
taksi	2.37	6.38	6.79
taksit	4.13	3.92	4.58
tane	1.85	3.76	4.76
tanitim	3.95	3.45	3.72
tasit	2.4	5.93	6.63
tatil	2.38	4.76	3.31
tavuk	1.5	6.69	6.88
taze	2.05	4.03	3.94
tehlike	2.36	3.19	2.57
teke	3.55	4.23	6.04
tekne	2.5	6.25	6.84
telâs	2.73	4.16	2.49
televizyon	2.73	6.55	6.89
temas	3.3	3.9	4.6
temiz	1.74	4.33	3.89
tenis	3.56	5.91	6.05
tepsi	1.84	6.13	6.75
ter	1.86	6.02	6.55
terazi	2.28	6.3	6.58
terslik	3.37	2.91	2.26
tiknaz	4.42	3.92	4.48
tilki	3.89	6.21	6.79
tip	2	3.87	3.41
tirnak	3.56	6.62	6.9
tirtik	1.65	3.41	5.32
titiz	3	3.72	2.48
torba	1.85	6.03	6.87
tortul	5.03	3.14	5.52
toz	1.81	5.26	6.09
trafik	2.68	5.92	5.35
tren	1.97	6.45	6.9
tuhaf	3.18	3.16	1.88
tüketim	3.8	3.42	3.73
turizm	3.97	3.67	3.28
tutku	4.21	3.85	2.14
tütün	3.51	6.07	6.82
tüy	1.91	5.51	6.68
uçak	2.09	6.47	6.91
ücret	3	4.39	5.2
uçus	2.78	4.3	4.72
ugultu	3.23	3.56	4.77
ugur	2.93	2.73	1.58
ülser	5.37	3.44	5.1
ümitli	3.26	2.8	2.1
un	1.79	6.39	6.84
üretici	3.49	3.35	5.06
urgan	3.58	4.73	6.14
üsengeç	3.37	3.62	3.06
ütopya	5.83	3.04	1.61
uyari	2.62	3.01	3.28
uygarlik	4.11	3.81	3.1
uyku	1.49	4.85	3.4
uyum	3.34	2.74	2.06
uyumlu	3.34	2.89	2.1
uzak	1.81	3.65	2.87
uzay	3.7	4.89	4.64
üzüm	1.52	6.57	6.93
uzun	1.84	4.65	4.68
vali	3.39	5.09	6.11
varlik	2.95	3.14	3.78
vatan	2.52	4.06	4.43
vicdan	3.47	2.32	1.39
virüs	4.61	3.13	5.13
viski	4.95	6.05	6.83
vitrin	3.43	5.99	6.56
yagcilik	4.2	3.07	2.39
yagis	2.32	5.87	6.04
yagmur	1.64	6.45	6.55
yakit	3.21	4.98	6.48
yalan	2.05	2.68	2.35
yali	3.67	6.02	6.73
yama	2.76	5.41	6.45
yangin	1.95	5.74	6.07
yansiz	4.24	2.59	2.29
yara	1.71	5.71	6.21
yardim	2.12	3.47	2.92
yarim	2.06	4.52	4.37
yaris	2.02	4.81	4.83
yastik	1.44	6.57	6.91
yatsi	2.8	3.6	4.39
yavru	1.82	4.85	5.52
yeni	1.67	3.49	2.62
yoga	5.35	4.4	3.38
yogurt	1.63	6.51	6.79
yonca	2.68	6.04	6.6
yorgun	2.18	4.61	3.41
yorgunluk	2.44	4.2	2.8
yorum	3.85	2.76	2.37
yüce	3.3	3.56	1.78
yüzük	1.95	6.7	6.81
zaman	2.02	2.58	2.19
zarar	2.3	3.17	2.41
zararli	1.99	2.92	2.59
zekâ	2.35	2.92	2.33
zeki	2.27	3.69	2.29
zeytin	1.7	6.51	6.92
zihin	3.12	2.91	2.5
zilgit	4.48	3.48	4.01
