word	age of acquisition	imagery	concreteness
açlik	1.79	4.24	3.68
adalet	3.61	3.08	1.82
ahsap	3.03	5.48	6.42
aile	1.69	5.91	4.78
ajan	4.25	4.48	5.6
akil	2.2	3.3	2.05
akilli	2.07	3.19	2.41
alet	2.33	4.61	6.63
alinti	4.45	3.7	4.45
aliskin	2.69	2.33	2.34
alkol	3.56	5.87	6.46
alt	2.18	3.71	4.28
altin	2.3	6.3	6.72
anarsist	5.42	4.41	5.66
anne	1.18	6.69	5.84
anten	3.16	6.36	6.87
araba	1.62	6.63	6.87
arkadas	1.7	5.85	5.25
arsa	2.76	5.74	6.69
asker	1.95	6.5	6.7
atik	3.82	3.81	6.04
atletik	3.86	5.3	4.56
atmosfer	3.97	4.19	5.67
atom	4.6	3.16	4.73
avare	4.63	3.37	3.07
avuç	1.8	6.2	6.63
ayakkabi	1.61	6.44	6.88
ayip	1.83	3.06	1.97
aykiri	3.57	2.74	2.15
ayna	1.75	6.41	6.79
azim	3.43	2.45	1.88
baba	1.2	6.5	5.92
bacak	1.56	6.5	6.86
bagnaz	5.44	2.82	2.49
bahar	1.85	5.46	4.94
bal	1.67	6.37	6.84
balik	1.63	6.67	6.79
balkon	1.99	6.45	6.87
barinak	3.02	5.47	6.43
baris	2.4	3.43	2.44
basari	2.37	3.56	2.52
basibos	3.04	2.97	2.82
basinç	4.26	3.25	4.85
bayi	4.42	4.85	6.26
bayrak	1.84	6.51	6.59
bayram	1.66	4.71	3.99
beceri	3.21	2.99	2.95
belâ	2.84	2.7	1.93
belde	4.35	3.71	5.35
belge	3.65	5.03	6.5
bencil	3.76	3.06	2.06
berber	1.99	6.24	6.61
beyaz	1.7	6	5.04
biber	1.69	6.51	6.75
biçak	1.7	6.55	6.87
bilek	1.89	6.06	6.82
bilgi	2.5	2.65	2.53
bilimci	4.33	3.66	5.46
bilisim	5.36	2.6	3.7
bina	1.99	6.05	6.78
bisiklet	1.87	6.51	6.86
bitki	2.11	5.89	6.6
blok	4.19	4.15	5.55
böcek	1.5	6.32	6.75
boga	2.16	6.18	6.84
bölüm	3.19	3.1	3.93
borçlu	3.22	3.08	4.32
boru	2.19	6.32	6.89
boya	1.76	5.35	6.43
boza	3.56	6.33	6.64
brüt	5.3	2.39	2.99
bulut	1.79	6.45	6.29
bunalim	4.34	3.17	1.94
bunalti	3.93	3.14	3.16
büro	4.02	5.43	6.37
büyü	3.41	2.92	1.78
buz	1.85	6.42	6.74
çabuk	1.89	2.98	2.4
cadde	2.21	6.11	6.52
çagri	3.49	3.23	3.9
çamasir	1.77	6.04	6.78
cami	1.81	6.56	6.59
cansiz	2.6	4.19	5.29
çare	3.23	3.26	2.11
çehre	3.5	4.88	6.02
ceket	1.89	6.39	7
çelenk	3.42	6.08	6.71
cenaze	2.36	5.4	5.51
cenin	5.78	4.36	5.72
cennet	2.34	3.76	1.76
çerçeve	2.09	6.11	6.76
cesur	2.58	3.49	2.25
cevap	2.03	3.99	4.35
çiçek	1.58	6.61	6.67
çiçekçi	2.21	6.12	6.53
çiglik	2.18	4.6	5.2
cihaz	3.65	4.76	6.43
çikolata	1.78	6.49	6.91
cilk	4.17	2.4	3.03
cinayet	3.34	4.5	4.71
çirkin	1.96	4.08	2.61
cisim	3.01	3.64	5.84
çocuk	1.51	6.36	6.45
çömlek	2.65	5.18	6.85
çubuk	1.86	5.13	6.47
çukur	2.11	5.93	6.39
damar	2.68	5.29	6.52
damla	2.14	5.87	6.64
dans	2.37	4.96	5.1
davet	2.91	4.26	3.66
dayak	1.84	4.67	4.85
dede	1.52	6.39	6.48
delik	1.87	5.65	6.09
demir	2.08	5.5	6.77
deniz	1.84	6.49	6.57
depo	2.96	5.58	6.67
dere	1.97	5.96	6.86
deri	2.19	5.55	6.74
dert	3.27	3.44	2.16
devlet	3.11	3.73	3.73
deyim	3.38	3.11	2.84
dikis	2.18	5.52	6.33
din	2.22	3.38	2.22
dinamik	4.26	3	2.76
dizgin	3.87	3.42	5.31
dostluk	2.57	4.07	1.97
dram	4.15	2.82	2.84
dua	1.82	4	2.84
dudak	1.71	6.46	6.8
dükkân	1.89	6.17	6.73
dürüst	2.84	3.3	2.09
duygulu	2.99	3.44	2.02
ebleh	5.71	1.85	2.67
ekonomi	4.33	3.21	3.47
ekran	3.4	6.27	6.74
elektrik	2.3	4.57	5.31
elem	4.44	2.32	1.78
elestirmen	4.68	3.8	5.34
elma	1.52	6.73	6.95
enerjik	3.95	3.65	2.69
engel	2.75	3.97	4.42
enginar	3.92	5.59	6.74
erozyon	4.09	4.26	6.01
esek	1.59	6.4	6.8
esinti	2.89	3.99	5.36
esir	3.14	4.64	5.06
esit	2.72	3.57	2.78
espri	3.61	3.61	2.76
essiz	3.7	2.16	2.35
esya	1.7	5.15	6.56
et	1.67	6.43	6.76
etken	4.3	2.57	2.98
ev	1.45	6.54	6.69
evlât	2.34	5.29	6
evrensel	4.71	2.27	2.2
faiz	4.84	3.24	4.15
faks	5	5.78	6.66
fâni	4.08	2.49	2.45
fazlalik	3.02	3.12	3.99
felâket	3.06	3.86	3.4
festival	4.27	5.04	5.07
fincan	2.04	6.47	6.94
firça	2.01	6.11	6.73
fobi	4.47	3.28	2.15
formül	4.19	4.08	4.58
fotograf	1.87	6.27	6.62
fuar	3.85	5.29	5.89
füze	4.04	5.99	6.7
gaddar	3.94	3.05	2.59
garanti	4.13	2.78	3.16
garson	2.77	6.24	6.61
gazete	2.09	6.51	6.81
geçerlik	4.49	1.62	1.63
gelin	2	6.18	6.28
gemi	2.05	6.61	6.92
gerçeklik	3.87	1.89	2.06
gezi	2.21	4.6	4.98
gicirti	2.41	4.03	5.29
girift	6.01	1.52	2.92
giyim	1.88	5.71	5.45
giysi	2.02	6.08	6.54
göl	2.19	6.38	6.76
gölge	2.37	5.05	5.55
gömlek	1.9	6.64	6.89
gözlük	1.95	6.63	6.87
gravür	6.12	2.68	5.63
gül	1.75	6.42	6.79
gülüs	1.96	5.32	4.66
gün	1.62	3.22	3.81
gündüz	1.71	4.94	5.27
güney	2.67	4.25	3.66
gürültü	2	4.55	5.29
gurur	3.11	2.68	1.69
haber	2.43	4.21	4.55
hacim	3.7	3.5	4.94
haksiz	2.83	2.67	2.3
hamile	2.15	6.44	6.45
hamur	1.81	5.91	6.55
haraç	4.57	3.52	5.02
harf	2	5.56	6.02
harika	2.48	2.87	1.44
harita	2.59	6.26	6.7
hasar	3.32	3.94	4.47
hasari	1.91	3.99	2.85
hastane	3.31	6.34	6.68
hata	2.1	3.16	2.9
havuz	2.29	6.45	6.83
hayat	2.46	2.91	3
haydut	3.35	4.95	5.87
hayret	2.65	2.95	1.9
hayta	4.4	2.46	2.74
hayvan	1.58	6.1	6.49
haz	4.84	2.93	1.59
heykel	2.67	6.26	6.78
hirçinlik	3.01	3.21	2.1
hirs	3.48	2.83	1.71
hizmet	3.24	3.46	2.95
hormon	5.03	3.02	5.36
horultu	2.76	4.85	5.36
hosnut	3.6	3.42	2.19
hukuk	4.33	3.32	3.79
hüzün	3.05	3.41	1.68
ibadet	2.54	4.6	2.67
içki	3.06	6.02	6.44
ideal	4.61	2.52	1.64
igde	3.31	5.22	6.37
ihmal	3.2	2.36	2.24
iklim	2.86	3.86	4.59
ilâç	1.88	6.36	6.56
ilgi	2.71	3.05	2.08
ilik	1.94	4.16	4.63
imaj	4.78	2.94	2.69
imza	2.98	5.8	6.02
inanç	2.68	3.01	1.47
incir	1.81	6.31	6.88
indirim	3.83	3.97	4.51
insanlik	2.92	3.13	1.95
ip	1.62	6.25	6.84
ipek	2.83	5.11	6.24
isaret	2.14	3.77	5.18
ishal	2.33	4.67	5.72
iskele	2.91	5.93	6.71
iskelet	2.85	6.03	6.72
islak	1.79	5.25	5.91
islemci	4.91	3.15	5.76
islik	2.05	4.81	5.49
israr	2.73	2.84	2.04
itiraz	3.08	3.6	2.48
iyi	1.86	2.76	1.42
iyilik	1.95	2.79	1.46
izlenim	4.43	2.23	2.46
kabin	3.78	5.59	6.7
kablo	2.48	6.07	6.87
kaçak	3.29	3.78	4.29
kadeh	3.45	6.35	6.75
kadin	1.77	6.27	6.24
