word	age of acquisition
conceito	6.38
concerto	5.72
concessão	7.66
conclusão	5.88
concreto	7.54
concurso	5.1
conduta	6.18
condutor	4.4
congresso	8.02
conquista	5.67
construção	6.26
consumo	6.02
contraste	7.14
controlo	6.44
convicção	7.53
convite	4.7
convívio	6.16
coração	3.16
coragem	4.94
corredor	4.18
correio	4.54
conselho	6.18
costume	5.68
cozinha	3.19
crédito	7.27
criança	3.34
crítica	7.0
cultura	6.02
década	6.61
decisão	5.74
defeito	5.7
defesa	6.1
demissão	7.28
derrota	5.28
descrição	5.86
desgraça	5.36
desporto	4.35
destino	5.66
desvio	5.44
dezembro	3.44
dezena	4.4
difusão	8.28
dimensão	5.76
direcção	5.98
director	5.84
direita	3.48
discurso	5.86
distância	5.45
distinção	6.77
dívida	5.69
divisão	5.35
doença	3.22
doente	2.92
eleição	6.17
eleitor	7.58
empate	4.88
emprego	5.0
empresa	5.86
encargo	7.26
encontro	4.74
ensaio	5.4
envio	5.41
equipa	4.27
escala	6.16
escola	2.78
escolha	4.08
escravo	6.15
escritor	4.82
espaço	4.56
espanto	5.69
espécie	6.67
espelho	3.23
esposo	5.88
esquema	6.21
estação	4.42
estado	6.04
estágio	7.71
estilo	6.58
estrada	4.88
estrela	2.92
evento	6.62
excesso	6.49
êxito	6.36
expansão	6.56
explosão	4.66
expressão	5.78
extensão	6.74
fabrico	6.26
fatia	3.74
festival	6.29
figura	4.1
finito	7.0
formação	6.6
frequência	6.38
fronteira	5.92
fundação	7.66
futebol	3.1
galinha	2.38
garrafa	4.28
género	6.22
governo	6.12
grandeza	5.84
guloso	3.5
hospital	3.13
ideia	4.08
igreja	3.04
ilusão	6.38
imagem	4.0
imortal	6.3
imóvel	7.26
impacto	5.94
imprensa	6.92
impressão	6.88
impulso	6.48
incêndio	4.42
indústria	5.98
infiel	7.47
injusto	5.5
intenção	6.63
janela	2.4
jogador	3.8
jornada	6.4
juízo	4.08
justiça	5.44
lateral	6.34
ligação	5.88
limite	6.02
linguagem	5.42
litoral	5.83
mandato	7.92
manteiga	2.82
máquina	3.98
marcador	3.54
marido	4.26
massacre	7.6
medalha	5.0
menino	1.79
mercado	4.26
metade	3.24
método	6.08
milénio	6.38
minuto	3.84
mistério	5.84
miúdo	4.07
modelo	5.33
momento	5.13
montante	7.41
mudança	5.33
muralha	5.48
música	2.5
navio	3.72
negócio	6.0
notável	7.2
notícia	4.98
novembro	3.92
obeso	6.73
obeso	6.73
oferta	5.0
ofício	6.54
orelha	2.02
origem	6.17
orquestra	6.14
outubro	4.13
ouvido	2.43
página	4.48
paisagem	5.16
paragem	5.22
partida	4.21
partido	5.4
passagem	5.56
pássaro	2.18
passeio	2.98
pavilhão	5.36
percurso	6.14
perfume	4.07
pergunta	3.25
pescador	4.14
pesquisa	6.67
piloto	4.45
pimenta	4.48
pintura	3.5
piscina	3.56
planície	6.44
plástico	4.36
plenário	8.27
pormenor	7.15
porta-voz	7.0
porteiro	4.71
português	4.33
posição	5.4
potência	7.0
poupança	5.76
prática	5.42
prestação	7.86
prestígio	7.45
príncipe	2.83
princípio	5.07
problema	4.17
procura	4.0
produto	5.96
professor	3.27
profissão	4.46
progresso	6.56
promotor	6.7
proporção	7.66
protecção	5.9
província	6.52
público	5.02
receio	6.02
reflexão	7.31
reforma	6.6
região	5.06
regime	6.36
registo	5.76
relevo	7.06
relógio	3.6
relvado	3.69
repente	5.74
respeito	4.66
restante	6.22
retrato	4.94
revista	3.98
revolta	6.02
riqueza	5.1
ritual	6.54
romance	6.98
ruído	5.06
saída	3.26
salário	6.02
sapato	2.19
saúde	4.21
sedutor	7.39
segredo	2.98
semana	3.12
semestre	7.7
sensação	6.03
sentido	7.0
sequência	6.34
síntese	7.06
sistema	6.94
solução	5.76
sondagem	7.52
sorriso	2.88
subida	3.98
subsídio	6.98
sugestão	6.57
suicídio	6.88
suporte	6.31
surpresa	3.24
suspeita	6.78
suspensão	7.1
tabela	5.41
talento	5.58
técnica	6.65
telhado	4.42
tendência	7.38
ternura	5.02
terreno	4.84
título	5.02
tomada	4.1
tráfego	7.71
tragédia	6.88
trânsito	5.26
transmissão	7.02
tratado	6.66
treinador	5.02
tristeza	4.2
triunfo	6.84
turista	5.35
utente	7.4
vantagem	4.82
vencedor	4.42
vestígio	7.24
viagem	4.3
virtude	6.75
vítima	6.19
vizinho	3.76
vocação	8.34
volante	4.7
vontade	3.9
votação	6.73
abertura	4.66
abordagem	6.94
acessório	7.15
acidente	4.42
acusação	6.76
adaptação	7.23
adjectivo	5.96
adversário	5.62
afirmação	6.16
agricultor	4.41
alegria	2.7
aliado	6.83
aliança	5.62
ambiente	4.85
amizade	3.8
amplitude	7.34
análise	6.34
analista	7.28
aparelho	5.64
aparência	6.49
apetite	5.0
aprovação	6.14
arbitragem	6.24
arquitecto	6.37
artefacto	7.7
assassínio	7.24
assassino	5.68
atitude	7.06
atmosfera	6.24
audiência	6.84
auditório	6.64
autarquia	7.32
autoria	7.3
avenida	5.44
aventura	4.98
balneário	5.47
basquetebol	4.67
brincadeira	2.48
calendário	5.28
camarada	6.38
capacete	4.04
carpinteiro	4.92
carruagem	4.98
cavaleiro	4.36
celebração	5.9
cemitério	4.56
centímetro	5.43
chocolate	2.4
cientista	6.56
circulação	6.81
cobertura	6.12
cogumelo	3.73
colocação	6.92
comandante	5.08
combinação	7.1
combustível	5.82
comparação	5.98
competência	7.04
competição	5.54
componente	6.98
composição	5.2
comprimento	4.94
compromisso	6.77
computador	5.54
comunismo	7.84
concentração	5.95
concorrente	5.83
condensador	7.92
conferência	7.38
confiança	6.65
consulado	7.67
consultório	5.35
contestação	8.04
continente	4.8
convergência	8.1
conversação	6.56
costureiro	5.96
criatura	5.61
criminoso	6.12
cruzamento	6.27
currículo	7.8
declaração	6.94
decreto-lei	8.62
definição	6.12
degradação	7.42
delegação	6.92
densidade	7.38
dependência	6.74
depósito	7.13
desafio	5.9
desempenho	7.0
desespero	6.35
designação	7.8
desperdício	6.9
deslocação	7.12
despedida	4.98
diamante	6.76
dignidade	7.44
dinâmica	7.54
dinamismo	7.36
dinastia	6.2
dinossauro	3.88
diplomata	7.08
discípulo	6.26
discoteca	6.6
disposição	6.67
divergência	7.64
divulgação	7.49
domicílio	6.92
educador	4.64
elefante	2.92
elemento	5.88
elevador	3.82
elevação	6.18
embalagem	4.94
embarcação	6.37
emergência	6.44
empregado	5.1
encenador	7.51
endereço	5.83
energia	4.96
enfermagem	6.05
enfermeiro	5.58
engenheiro	6.44
escândalo	6.9
escritório	5.12
escultura	6.04
espectador	5.58
esperança	5.54
estatuto	7.72
estímulo	7.63
estrutura	6.31
eucalipto	4.96
evidência	7.3
evolução	7.3
excendente	7.52
exibição	7.38
existência	6.8
explicação	4.96
exploração	6.16
exportação	6.9
fabricante	5.43
federação	7.53
fenómeno	6.98
ferimento	6.44
ferramenta	4.64
fotógrafo	4.79
fundamento	7.0
galeria	6.3
garantia	5.66
governador	6.86
governante	7.07
gravidade	7.1
habitante	5.5
heroína	6.92
hipótese	6.88
homenagem	6.98
homicídio	7.52
horizonte	5.9
imigrante	7.0
imperador	6.19
importância	5.46
importante	4.46
imprudente	6.98
incentivo	6.32
incidência	7.12
incómodo	6.35
indicação	6.34
indicador	6.4
indivíduo	6.06
influência	6.8
inimigo	4.55
inovação	6.92
inspiração	7.64
inquérito	7.18
instalação	6.06
instantâneo	7.16
interesse	5.75
interior	5.17
intérprete	6.54
intervalo	4.54
intervenção	7.08
ironia	7.98
irresponsável	6.38
jornalista	5.15
lançamento	6.14
legislação	7.98
libertação	6.57
libertador	6.92
liderança	7.43
limitação	6.74
mão-de-obra	7.21
material	4.18
mecanismo	6.52
medicina	5.22
mentiroso	3.54
ministério	7.58
molécula	8.19
monarquia	6.48
motorista	4.48
munícipe	7.56
município	6.96
nascimento	3.76
natureza	4.23
nevoeiro	6.16
nomeação	7.28
observação	6.38
observador	5.74
obstáculo	5.7
ocasião	5.62
ocupação	6.08
ocupante	6.29
oficina	5.33
operador	6.63
opinião	5.59
opositor	6.84
optimismo	6.95
orçamento	7.1
organismo	6.54
orifício	7.37
paciente	5.72
pagamento	5.08
paraíso	5.32
paralelo	6.2
parâmetro	7.36
parasita	6.58
passageiro	5.42
património	7.56
patrocínio	7.6
percentagem	6.69
permanência	7.35
personagem	5.18
perspectiva	7.51
perturbação	8.08
pesadelo	4.08
política	5.96
poluição	4.86
população	4.98
povoação	6.0
prejuízo	7.26
preparação	6.3
presidência	6.63
pressuposto	7.86
privilégio	7.55
programa	5.51
proibição	4.8
propaganda	7.5
propósito	8.0
proteína	7.18
quantidade	5.31
quilómetro	5.98
radiação	7.16
rapariga	2.2
reclamação	6.44
recordação	6.32
reembolso	7.08
referendo	7.69
relevante	7.14
religião	5.49
renovação	6.57
repartição	8.18
repetição	4.88
reportagem	6.4
respiração	4.85
restaurante	3.48
resultado	4.94
retirada	6.66
reunião	4.87
sacerdote	6.06
sacrifício	6.79
santuário	6.29
satisfação	5.59
secretário	5.92
semelhança	5.59
seminário	7.73
sentimental	7.16
sentimento	6.72
separação	5.06
situação	5.44
sofrimento	5.68
superfície	5.78
tabuleiro	4.18
televisão	2.73
temporada	6.55
teoria	7.24
território	5.92
testemunho	7.56
tonelada	6.6
tratamento	6.31
tripulação	6.22
tripulante	7.64
unidade	5.02
universo	5.48
utensílio	5.86
variante	7.58
variável	7.5
veículo	5.62
vereador	7.98
veterano	7.65
viatura	5.9
vigilância	6.98
violência	5.6
visitante	5.7
aceleração	6.67
actividade	5.0
acumulação	6.6
adiamento	5.92
adolescência	6.84
adolescente	6.4
aeroporto	5.4
afinidade	7.49
agrupamento	6.78
alargamento	6.81
alcoolismo	7.13
alimentação	4.4
alojamento	6.84
anonimato	6.6
antecedente	7.44
apartamento	4.56
aprendizagem	5.82
apresentação	5.96
aproximação	5.88
apuramento	6.78
arquipélago	6.82
arquitectura	6.95
arrendamento	7.77
artesanato	6.35
articulação	7.0
associado	7.43
atribuição	6.78
auto-estrada	5.43
autonomia	6.38
autoridade	6.02
camioneta	3.1
campeonato	4.94
candidatura	6.66
capitalista	8.18
certificado	8.08
civilização	7.3
classificação	6.24
colaboração	6.48
comemoração	6.63
compartimento	6.39
compatriota	7.5
complexidade	7.44
comportamento	5.16
consideração	7.27
constituição	7.42
continuação	5.12
contra-ataque	5.96
contrapartida	6.22
cooperação	7.56
coordenação	7.37
correspondência	6.58
cristianismo	6.26
deficiência	5.86
departamento	7.22
depoimento	7.55
desconfiança	7.28
desequilíbrio	6.38
dificuldade	5.38
diplomacia	7.72
dispositivo	7.02
distribuição	6.22
diversidade	6.42
domicílio	6.92
economista	7.48
ecossistema	8.14
eficiência	7.35
eleitorado	7.83
encerramento	6.61
enquadramento	7.47
ensinamento	6.9
entendimento	6.76
entusiasmo	5.48
escoamento	8.13
especulação	8.36
esquecimento	5.22
estatística	6.96
estimativa	6.6
expectativa	7.74
experiência	5.98
extremidade	6.73
farmacêutico	6.51
fidelidade	7.18
fim-de-semana	3.39
finalidade	6.5
fiscalização	8.56
fornecimento	6.64
habilidade	7.1
hierarquia	7.62
humanidade	6.12
identidade	5.58
imunidade	8.34
inauguração	7.16
incompetente	7.08
inconsciente	7.46
indemnização	8.02
independência	6.52
indiferença	7.0
inteligência	5.03
intensidade	7.24
interlocutor	6.96
investimento	7.65
itinerário	6.84
justificação	6.24
laboratório	6.58
localidade	5.56
localização	5.65
manifestação	6.56
matemática	4.45
melancolia	8.08
mentalidade	7.02
mercadoria	6.08
milionário	5.61
mobiliário	6.76
mobilidade	6.4
modificação	6.9
negociação	7.25
negociante	6.44
ordenamento	7.56
organização	6.14
orientação	6.3
penalidade	7.31
preocupação	6.14
prioridade	7.2
privatização	8.56
procedimento	7.02
profundidade	6.77
propriedade	6.28
proprietário	7.03
prosperidade	7.47
proximidade	6.4
publicidade	5.94
raciocínio	6.26
realização	7.22
realizador	6.58
recipiente	5.42
regulamento	7.73
remuneração	7.84
representante	7.14
reservatório	7.16
revestimento	6.08
saneamento	8.66
segunda-feira	3.08
significado	5.4
simplicidade	5.68
soberania	6.96
socialista	7.33
solicitador	8.2
substituição	6.36
tecnologia	7.47
telefone	2.74
telefonema	4.6
temperatura	5.9
tranquilidade	5.94
urbanização	7.84
utilização	5.98
valorização	7.98
variedade	6.78
velocidade	4.84
ter	2.3
abrir	2.54
agir	5.69
andar	1.88
beber	1.94
beijar	2.83
brincar	2.7
buscar	3.64
cobrir	3.35
contar	2.38
dançar	2.56
deitar	3.04
dizer	3.26
entrar	2.48
errar	4.07
estar	2.68
fechar	2.83
fugir	3.0
gostar	2.42
gritar	2.7
guardar	4.3
haver	4.74
juntar	3.6
lembrar	3.8
levar	2.84
lutar	4.12
mandar	3.94
morar	3.24
morrer	4.21
mover	5.5
negar	5.15
obter	6.35
ouvir	2.33
pagar	3.75
parar	3.54
partir	3.24
partir	3.24
perder	3.45
poder	4.64
pousar	4.24
prender	4.56
querer	2.82
roubar	3.92
saber	3.91
sair	2.65
sentir	3.78
soltar	4.43
sorrir	2.53
subir	2.48
tentar	4.9
tirar	2.96
abanar	3.96
abdicar	7.58
abraçar	2.84
abrigar	5.08
abusar	5.06
aceitar	4.42
acender	4.28
acordar	3.11
adaptar	6.46
admitir	6.92
adquirir	6.57
afastar	5.25
afirmar	5.96
agarrar	3.06
alcançar	6.27
amarrar	4.4
apagar	3.36
apertar	3.96
apreciar	5.56
atingir	5.34
baralhar	5.35
caminhar	3.74
cancelar	6.67
castigar	4.04
censurar	7.15
circular	5.19
comandar	6.2
combater	6.0
combinar	6.64
começar	3.38
condenar	6.27
conhecer	3.76
convencer	5.52
criticar	5.64
debater	6.56
decorar	5.56
defender	5.16
definir	6.5
deparar	7.19
derramar	6.24
despedir	4.86
discursar	7.23
discursar	7.23
embater	7.24
embrulhar	4.62
esperar	3.54
falecer	5.82
festejar	4.46
flutuar	5.98
fornecer	6.14
gaguejar	6.2
garantir	6.53
governar	6.31
ignorar	6.08
imitar	4.04
impedir	6.38
imprimir	6.42
inclinar	6.14
insistir	5.73
internar	5.48
inventar	4.18
investir	6.66
irritar	4.22
lamentar	6.82
legendar	7.0
legislar	7.75
levantar	3.29
liderar	6.9
madrugar	6.27
magicar	6.7
madrugar	6.27
magicar	6.7
magoar	5.5
maltratar	5.32
massajar	5.81
melhorar	4.94
merecer	4.88
misturar	4.02
mobilar	6.7
murmurar	6.12
namorar	5.0
navegar	5.77
nomear	6.79
obrigar	4.18
ocorrer	6.12
ocultar	7.5
odiar	6.72
ofender	5.36
parecer	5.15
passear	2.56
pedalar	4.28
pendurar	4.9
percorrer	6.66
perdoar	5.0
perguntar	3.53
perseguir	5.8
perturbar	6.82
piorar	4.98
planear	6.5
ponderar	7.56
possuir	5.5
premiar	6.31
pressentir	7.6
pretender	6.8
procurar	4.12
proibir	3.58
protestar	6.96
publicar	6.98
rabiscar	5.19
rastejar	4.9
reagir	6.41
reatar	7.27
reaver	7.3
rebaixar	7.62
reatar	7.27
reaver	7.3
rebentar	5.1
receber	4.04
rechear	5.66
reciclar	5.54
recitar	5.92
reclamar	4.96
recorrer	7.34
recortar	3.91
recuar	5.63
reduzir	6.2
referir	6.65
reforçar	6.91
reformar	6.58
registar	6.42
regressar	5.22
remexer	6.6
renascer	6.68
renegar	7.4
renovar	5.9
reparar	5.02
repousar	6.38
reprovar	5.7
repuxar	7.64
residir	6.67
resolver	4.94
respirar	2.94
responder	3.73
resultar	6.02
retirar	5.48
seduzir	7.42
segurar	3.52
semear	4.18
separar	4.32
simular	6.94
sortear	5.9
sossegar	4.53
sublinhar	5.85
suplicar	6.45
temperar	5.84
tolerar	6.72
torturar	6.8
trabalhar	3.92
traduzir	6.66
ultrajar	8.35
variar	4.96
viajar	4.3
vigiar	5.76
visitar	3.88
aborrecer	5.08
acelerar	5.74
acentuar	6.73
acontecer	4.74
acrescentar	6.0
adiantar	5.84
adivinhar	4.38
administrar	7.8
adormecer	3.1
angustiar	7.35
anunciar	6.0
aparecer	3.96
apetecer	4.24
apreciar	5.56
caluniar	8.54
capacitar	7.47
catalogar	7.65
certificar	6.95
classificar	6.39
coincidir	6.9
colaborar	6.5
compreender	6.06
corresponder	6.06
desafiar	6.38
efectuar	6.68
elaborar	6.14
eliminar	4.96
emagrecer	5.78
examinar	6.86
facilitar	6.43
falsificar	7.19
felicitar	7.76
financiar	8.1
focalizar	7.39
focalizar	7.39
fortalecer	7.03
fotografar	4.94
funcionar	4.78
habituar	5.33
horrorizar	7.18
humanizar	7.6
humedecer	6.32
iluminar	4.72
improvisar	7.22
inaugurar	7.14
incentivar	7.06
iniciar	4.59
instituir	8.0
interpretar	6.49
interrogar	6.78
interromper	6.6
introduzir	6.2
licenciar	7.65
lubrificar	7.78
manifestar	6.68
manipular	6.86
maximizar	6.88
mencionar	7.4
minimizar	7.19
mobilizar	7.55
modificar	5.88
multiplicar	5.06
normalizar	7.63
negociar	6.22
normalizar	7.63
obedecer	4.44
oferecer	4.54
participar	5.13
permanecer	6.16
persuadir	7.44
pestanejar	5.14
planificar	7.44
prejudicar	6.98
preocupar	5.33
pressionar	7.21
principiar	6.95
purificar	7.37
quantificar	7.27
quantificar	7.27
questionar	6.08
reacender	7.84
reactivar	7.42
recensear	8.4
recomendar	6.94
recompensar	5.64
reconduzir	7.8
reconfortar	6.48
reconstruir	6.76
reconverter	8.16
recriminar	7.77
recuperar	6.24
reembolsar	7.65
reenviar	7.18
reformular	7.23
regenerar	8.42
reincidir	7.92
reocupar	7.58
reenviar	7.18
reformular	7.23
representar	6.02
reproduzir	5.98
requisitar	6.66
ressuscitar	5.68
retroceder	7.84
rivalizar	7.45
saborear	6.35
salientar	7.38
significar	5.71
simpatizar	5.41
simpatizar	5.41
simplificar	7.0
sinalizar	7.02
sintetizar	7.34
solicitar	7.83
subestimar	8.02
subordinar	7.7
substituir	5.16
sumariar	6.48
testemunhar	7.58
tipificar	8.16
totalizar	7.42
tranquilizar	6.48
transparecer	7.21
usufruir	7.77
valorizar	6.57
verificar	6.4
actualizar	7.52
adicionar	5.54
coleccionar	5.08
contabilizar	7.66
desaparecer	4.0
desequilibrar	5.98
desinteressar	6.04
generalizar	7.18
homenagear	7.74
hospitalizar	6.73
identificar	5.95
impressionar	6.86
influenciar	6.84
liberalizar	7.75
monopolizar	8.1
naturalizar	7.24
popularizar	7.46
liberalizar	7.75
posicionar	7.02
possibilitar	6.3
privilegiar	7.32
proporcionar	7.04
reaparecer	7.1
reconsiderar	7.33
reconstituir	7.5
regulamentar	7.5
relacionar	6.48
restabelecer	7.78
sensibilizar	7.24
solucionar	6.88
teatralizar	7.78
transaccionar	8.02
bom	1.81
mau	1.33
ágil	6.25
amplo	6.9
azul	2.0
baixo	4.72
belo	3.92
caro	3.9
cheio	2.42
comum	5.36
curto	3.42
doce	3.36
fácil	3.1
falso	4.91
feio	1.77
fraco	3.71
frio	1.9
geral	5.16
grande	1.95
igual	4.9
largo	3.9
lindo	2.63
longo	4.08
magro	3.88
maior	2.8
livre	4.22
neutro	7.2
normal	4.21
novo	2.65
pior	3.45
pleno	7.27
próprio	4.73
quente	2.03
rico	3.96
simples	4.24
actual	5.92
alegre	2.64
amargo	4.4
antigo	4.08
anual	5.08
barato	4.28
básico	6.0
bonito	2.0
calado	2.81
casado	3.14
célebre	6.96
certeiro	6.64
cheiroso	4.6
céptico	8.23
coberto	4.06
cómico	5.76
compacto	6.42
completo	4.82
confuso	6.05
contente	2.68
decente	6.49
difícil	2.92
discreto	6.43
enorme	6.7
europeu	6.29
externo	6.46
fechado	2.75
festivo	6.08
flácido	6.96
formoso	7.6
frequente	6.49
frustrado	7.4
genial	5.9
gradual	7.33
gratuito	5.94
grosseiro	6.78
heróico	6.16
humilde	6.85
ideal	6.02
ilegal	6.74
ilustre	6.72
incrível	5.38
ingénuo	6.7
íntimo	6.74
invulgar	6.46
juvenil	6.1
latente	8.49
latente	8.49
lectivo	5.98
líquido	4.46
lúcido	7.6
lúdico	6.94
macio	4.5
mínimo	5.54
moderno	6.19
mundial	5.48
nervoso	5.27
oculto	8.02
oposto	5.8
pequeno	2.02
perfeito	5.0
pesado	3.76
péssimo	5.02
policial	6.7
popular	5.98
prático	5.96
principal	5.45
prudente	7.61
queimado	3.71
queimado	6.76
querido	3.45
quieto	3.7
radical	5.94
refeito	7.21
remoto	7.32
rentável	7.26
repleto	6.54
restrito	6.54
romano	5.68
rústico	7.42
sagrado	6.4
saudável	5.2
seguro	5.04
selvagem	5.35
semanal	5.4
sensato	6.98
sólido	5.04
sozinho	2.98
suave	4.48
suspenso	6.44
tardio	5.38
tímido	5.82
trágico	6.95
último	3.74
abatido	6.55
abundante	6.76
acessível	6.18
acolhedor	6.65
adaptável	8.34
acolhedor	6.65
admirável	5.96
amarelo	2.36
amoroso	5.56
animado	4.42
anterior	5.1
artístico	6.66
ascendente	7.33
atlântico	5.76
autêntico	6.98
benéfico	6.76
brasileiro	4.78
caloroso	6.62
cansativo	5.48
coerente	8.02
comercial	6.14
compatível	7.02
complicado	4.82
conhecido	4.72
curioso	4.6
decisivo	6.91
dependente	6.78
desportivo	5.73
directivo	7.24
disponível	6.65
divertido	3.66
duvidoso	6.06
efectivo	7.56
especial	4.48
essencial	6.64
estrangeiro	5.48
exemplar	5.74
fabuloso	6.02
familiar	4.47
favorito	4.88
fugidio	8.34
fundamental	6.72
furioso	4.81
genuíno	6.56
grandioso	6.76
habitual	5.57
hesitante	7.28
hesitante	7.28
histórico	6.58
horizontal	5.24
ilícito	8.6
iminente	7.92
imparável	6.62
impensável	6.34
imperativo	6.78
impossível	5.47
importante	3.98
imprevisto	7.32
incessante	8.22
incompleto	6.18
inconstante	7.04
incorrecto	5.52
indiscreto	7.73
infalível	8.06
inferior	4.68
inocente	4.86
intensivo	6.98
intermédio	6.86
lamentável	6.75
luminoso	5.61
magnético	7.35
magnífico	6.5
manifesto	7.46
mediano	7.88
melódico	7.68
moderado	5.8
necessário	5.98
negativo	5.19
numeroso	6.79
observável	7.22
ocidental	6.32
ofegante	7.35
ofegante	7.35
ofensivo	7.53
oficial	7.2
ondulante	6.24
ordinário	7.21
pacífico	6.32
parlamentar	7.2
particular	6.5
penetrante	7.96
pensativo	6.28
penúltimo	5.52
perigoso	4.26
persistente	7.43
poderoso	5.58
poético	6.38
político	5.48
racional	7.15
razoável	6.4
realista	6.74
receptivo	6.32
rectangular	4.84
referente	7.42
regional	6.17
resistente	6.73
resultante	7.13
respeitável	6.51
retirado	6.82
reversível	7.22
ruidoso	6.38
saliente	7.1
sarcástico	7.92
secundário	6.0
separado	5.16
simbólico	7.31
simpático	3.98
sinónimo	5.71
solitário	6.12
sossegado	3.95
subjectivo	8.04
sossegado	3.95
sucessivo	6.74
temporário	6.81
tolerante	6.92
trabalhoso	6.48
unânime	7.34
violento	5.8
académico	7.6
afectuoso	7.0
alcoólico	6.69
alucinante	7.94
ameaçador	5.84
ameaçador	5.84
americano	5.45
angustiante	7.14
artificial	6.27
autoritário	6.94
benevolente	7.54
capitalista	7.3
catastrófico	7.66
científico	7.37
competitivo	6.33
comprovativo	7.19
confidencial	7.35
considerável	6.92
educativo	5.7
eficiente	7.04
fotográfico	5.73
habilidoso	6.82
habituado	5.6
hereditário	6.9
higiénico	5.74
humanitário	7.28
humorístico	7.75
ilimitado	6.48
imediato	6.33
imperativo	6.78
imperdoável	7.23
impraticável	7.5
imperdoável	7.23
imprescindível	7.84
incoerente	7.96
independente	6.28
intelectual	7.0
italiano	4.88
legislativo	7.88
longitudinal	7.77
malicioso	6.45
megalómano	8.78
minucioso	8.03
misterioso	6.68
movimentado	5.7
oficioso	8.04
orientador	7.18
originário	7.26
panorâmico	7.1
patriótico	7.84
periódico	7.35
