word	age of acquisition
chão	1.95
flor	1.55
mar	2.04
mês	3.19
pão	2.32
rei	3.28
abril	3.22
acto	6.02
actor	4.92
alta	3.0
arma	4.1
arte	6.7
avô	1.61
água	2.12
bairro	4.69
banco	3.05
banda	4.1
banho	2.1
barco	2.36
bolsa	5.25
breve	5.2
brilho	4.02
bronze	5.7
calor	2.52
cama	1.84
campo	2.83
canto	3.12
carga	5.57
carne	2.02
carta	3.6
casa	1.55
casal	4.82
caso	6.8
cena	5.6
cheiro	2.47
chuva	2.29
cima	2.32
classe	4.82
clima	5.21
clube	5.06
coisa	3.14
compra	3.36
corpo	3.38
crise	6.74
curso	6.19
custo	4.54
data	3.26
dedo	2.66
dente	2.88
dia	2.16
doido	3.55
doutor	3.34
droga	6.81
dúzia	4.65
face	4.19
facto	5.93
fase	6.02
feira	3.6
féria	5.12
ferro	4.18
fiel	5.74
filho	2.47
filme	3.05
final	5.76
fio	3.0
fogo	3.22
forno	3.9
frase	4.37
gente	3.05
gesto	4.22
gestor	6.96
golo	2.75
grupo	4.71
guerra	4.4
hora	2.94
hotel	4.08
irmão	2.72
jantar	2.86
jardim	2.96
jovem	5.58
judeu	6.68
juiz	5.13
junho	4.05
juro	4.16
ilha	4.18
leite	1.65
líder	6.16
língua	2.65
linha	2.98
lista	6.4
livro	2.6
lua	2.44
lucro	5.98
lume	3.74
mapa	4.44
marca	4.68
março	3.95
margem	5.85
mastro	6.63
média	6.1
mesa	2.14
metal	5.4
metro	6.2
milhar	6.2
missão	5.36
moda	4.76
modo	4.68
muro	3.24
museu	5.49
neve	2.88
nível	5.48
noivo	4.55
nome	2.21
norma	8.02
nota	4.2
núcleo	7.16
ombro	3.31
ordem	4.28
orgão	5.36
ouro	4.46
ovo	2.78
padrão	7.4
palco	4.53
papel	2.44
parque	3.51
patrão	5.0
parte	3.92
pedra	2.57
pele	3.2
perda	4.83
perna	1.93
pesca	3.72
peso	5.14
pista	6.14
plano	5.12
ponte	3.5
porta	2.06
posto	5.06
povo	4.04
praia	2.78
prazer	5.3
prémio	3.9
prisão	4.79
quarto	2.5
queixa	3.82
questão	5.28
rádio	2.96
ramo	4.26
reacção	6.56
rede	4.88
regra	4.27
resto	4.14
risco	5.12
roda	2.29
rosto	4.05
roupa	3.58
rua	2.57
santo	3.71
sede	2.35
sessão	5.74
série	5.66
sinal	4.3
sítio	3.44
sonho	3.3
sopa	1.72
sorte	3.73
tarde	2.53
tempo	3.2
tensão	6.72
termo	7.94
terra	3.5
tiro	3.2
treino	5.13
vale	5.0
valor	5.0
verão	3.54
verba	8.42
verbo	4.88
via	6.3
vida	3.35
vidro	3.38
vinho	3.76
vista	3.82
volta	3.92
voto	6.33
ácido	6.37
adulto	3.73
afecto	5.26
agência	6.46
agosto	3.38
ajuda	3.4
álcool	5.5
aldeia	3.24
alívio	6.13
almoço	2.9
alvará	8.32
amador	5.88
amante	6.86
ambição	6.18
âmbito	7.98
amigo	2.74
anexo	7.43
angústia	7.88
animal	2.27
ânimo	6.9
apelo	7.05
aplauso	5.6
árbitro	5.49
arbusto	4.85
areia	2.73
arguido	8.15
armário	3.77
armazém	5.46
arquivo	6.69
arranjo	6.19
arranque	5.9
artesão	6.8
artigo	6.82
artista	4.74
asilo	6.82
ataque	5.1
atleta	5.08
atraso	4.32
aumento	5.08
ausência	5.52
auxílio	6.64
azeite	4.1
baliza	3.64
bancada	4.96
barraca	5.21
barreira	5.68
batata	2.18
beleza	4.38
bilhete	4.16
bocado	3.44
bombeiro	3.44
cabeça	1.65
cadáver	7.23
cadeia	4.45
cadeira	2.28
cálculo	5.44
camada	5.56
camião	4.28
camisa	3.36
capital	6.19
carácter	7.32
carreira	5.88
castelo	3.48
cavalo	2.78
centena	5.04
céptico	8.23
certeza	5.21
chamada	4.65
cidadão	6.07
ciência	6.27
cinema	4.51
circuito	6.54
círculo	5.02
cliente	4.98
colégio	4.1
combate	5.33
começo	4.62
comércio	5.36
comida	1.76
comissão	7.02
complexo	6.48
